,nonprofit,donate,food bank,charities,World Vision,Red Cross,Doctors Without Borders,blood donation,donation,thrift store
2020-04-26,0.0,51.0,96.0,87.0,0.0,29.0,86.0,52.0,46.0,24.0
2020-04-27,0.0,56.0,93.0,0.0,0.0,37.0,0.0,0.0,46.0,21.0
2020-04-28,0.0,33.0,0.0,40.0,0.0,52.0,0.0,0.0,28.0,22.0
2020-04-29,0.0,20.0,59.0,0.0,0.0,27.0,0.0,0.0,21.0,22.0
2020-04-30,38.0,18.0,35.0,36.0,0.0,47.0,0.0,43.0,44.0,20.0
2020-05-01,0.0,29.0,86.0,0.0,73.0,0.0,0.0,0.0,14.0,22.0
2020-05-02,0.0,23.0,0.0,47.0,0.0,31.0,0.0,0.0,49.0,39.0
2020-05-03,0.0,22.0,66.0,45.0,0.0,87.0,0.0,54.0,23.0,49.0
2020-05-04,0.0,31.0,27.0,0.0,0.0,24.0,0.0,0.0,13.0,21.0
2020-05-05,0.0,18.0,52.0,36.0,0.0,70.0,0.0,0.0,25.0,20.0
2020-05-06,0.0,19.0,58.0,40.0,0.0,0.0,0.0,47.0,28.0,0.0
2020-05-07,0.0,20.0,29.0,0.0,0.0,51.0,0.0,0.0,14.0,22.0
2020-05-08,42.0,19.0,57.0,39.0,0.0,0.0,0.0,0.0,21.0,22.0
2020-05-09,44.0,0.0,41.0,42.0,79.0,82.0,0.0,0.0,22.0,0.0
2020-05-10,45.0,21.0,31.0,0.0,0.0,28.0,84.0,51.0,15.0,47.0
2020-05-11,0.0,38.0,28.0,58.0,0.0,25.0,0.0,0.0,27.0,21.0
2020-05-12,82.0,25.0,28.0,39.0,71.0,0.0,0.0,46.0,33.0,0.0
2020-05-13,0.0,29.0,43.0,78.0,0.0,26.0,0.0,0.0,14.0,0.0
2020-05-14,0.0,59.0,58.0,59.0,0.0,26.0,0.0,0.0,21.0,0.0
2020-05-15,0.0,29.0,56.0,39.0,73.0,25.0,0.0,0.0,40.0,22.0
2020-05-16,49.0,23.0,0.0,0.0,0.0,30.0,0.0,56.0,40.0,39.0
2020-05-17,100.0,0.0,47.0,48.0,91.0,31.0,0.0,0.0,17.0,26.0
2020-05-18,0.0,0.0,0.0,44.0,0.0,57.0,0.0,0.0,0.0,0.0
2020-05-19,0.0,19.0,28.0,0.0,72.0,25.0,0.0,0.0,34.0,0.0
2020-05-20,0.0,30.0,29.0,40.0,0.0,26.0,0.0,0.0,42.0,0.0
2020-05-21,43.0,71.0,30.0,41.0,0.0,27.0,0.0,0.0,14.0,23.0
