,Banana Republic,Old Navy	,Gap,Holt Renfrew,Harry Rosen,H&M,Zara,Neon,Winners,Forever 21
2020-05-02,94.0,77.0,74.0,55.0,0.0,82.0,63.0,56.0,19.0,24.0
2020-05-03,41.0,79.0,84.0,70.0,0.0,78.0,69.0,68.0,26.0,35.0
2020-05-04,27.0,77.0,74.0,77.0,20.0,83.0,78.0,49.0,72.0,19.0
2020-05-05,59.0,68.0,61.0,63.0,19.0,65.0,57.0,70.0,31.0,37.0
2020-05-06,44.0,60.0,65.0,85.0,21.0,63.0,89.0,69.0,44.0,72.0
2020-05-07,14.0,56.0,54.0,46.0,42.0,73.0,45.0,51.0,38.0,61.0
2020-05-08,43.0,64.0,70.0,38.0,21.0,66.0,75.0,68.0,31.0,61.0
2020-05-09,39.0,79.0,69.0,25.0,22.0,76.0,69.0,73.0,39.0,87.0
2020-05-10,70.0,61.0,61.0,38.0,45.0,68.0,63.0,84.0,22.0,55.0
2020-05-11,21.0,51.0,77.0,56.0,20.0,55.0,56.0,75.0,46.0,40.0
2020-05-12,21.0,63.0,60.0,67.0,20.0,52.0,57.0,38.0,35.0,20.0
2020-05-13,43.0,81.0,84.0,35.0,21.0,67.0,61.0,51.0,33.0,20.0
2020-05-14,44.0,75.0,57.0,47.0,21.0,66.0,78.0,43.0,31.0,31.0
2020-05-15,36.0,72.0,81.0,22.0,31.0,72.0,55.0,55.0,34.0,20.0
2020-05-16,85.0,92.0,73.0,68.0,0.0,91.0,60.0,30.0,26.0,48.0
2020-05-17,26.0,91.0,58.0,56.0,26.0,88.0,73.0,42.0,34.0,100.0
2020-05-18,64.0,100.0,90.0,51.0,23.0,95.0,100.0,62.0,43.0,56.0
2020-05-19,43.0,60.0,64.0,69.0,20.0,73.0,76.0,42.0,44.0,30.0
2020-05-20,29.0,84.0,77.0,23.0,31.0,82.0,70.0,58.0,49.0,51.0
2020-05-21,37.0,98.0,81.0,56.0,0.0,100.0,87.0,71.0,45.0,63.0
