,BMW,sell car,car rental,used Cars,auto trader,toyota	,electric car,Mercedes Benz,Tesla,car dealership
2020-05-07,73.0,0.0,19.0,43.0,66.0,81.0,25.0,26.0,24.0,0.0
2020-05-08,76.0,0.0,27.0,24.0,22.0,80.0,49.0,25.0,25.0,0.0
2020-05-09,82.0,82.0,29.0,78.0,31.0,71.0,27.0,49.0,25.0,34.0
2020-05-10,75.0,0.0,25.0,53.0,24.0,82.0,27.0,61.0,23.0,34.0
2020-05-11,66.0,38.0,24.0,26.0,32.0,78.0,60.0,30.0,28.0,31.0
2020-05-12,77.0,0.0,34.0,53.0,54.0,70.0,24.0,30.0,29.0,31.0
2020-05-13,69.0,0.0,23.0,48.0,29.0,67.0,0.0,38.0,25.0,31.0
2020-05-14,65.0,39.0,14.0,55.0,37.0,82.0,50.0,62.0,22.0,32.0
2020-05-15,70.0,38.0,23.0,27.0,43.0,80.0,24.0,20.0,22.0,0.0
2020-05-16,80.0,45.0,32.0,48.0,25.0,69.0,29.0,45.0,18.0,0.0
2020-05-17,100.0,47.0,28.0,53.0,80.0,91.0,45.0,43.0,21.0,38.0
2020-05-18,70.0,0.0,23.0,42.0,0.0,94.0,41.0,39.0,29.0,0.0
2020-05-19,64.0,38.0,23.0,64.0,43.0,87.0,57.0,40.0,27.0,31.0
2020-05-20,63.0,39.0,31.0,33.0,44.0,91.0,25.0,26.0,14.0,48.0
