,loan,mortgage loan,dow jones,mortgage,interest rate,savings,debt,bonds,stock market	,mutual funds
2020-04-16,91.0,0.0,35.0,31.0,23.0,7.0,56.0,42.0,18.0,53.0
2020-04-17,50.0,0.0,39.0,34.0,24.0,9.0,52.0,57.0,23.0,27.0
2020-04-18,60.0,0.0,7.0,27.0,32.0,11.0,59.0,37.0,9.0,46.0
2020-04-19,67.0,42.0,5.0,19.0,15.0,4.0,77.0,80.0,14.0,100.0
2020-04-20,67.0,0.0,45.0,20.0,9.0,6.0,51.0,41.0,28.0,35.0
2020-04-21,53.0,0.0,36.0,24.0,9.0,13.0,79.0,51.0,37.0,0.0
2020-04-22,48.0,77.0,43.0,29.0,18.0,7.0,35.0,52.0,22.0,26.0
2020-04-23,65.0,39.0,41.0,36.0,37.0,9.0,72.0,21.0,24.0,40.0
2020-04-24,63.0,0.0,32.0,22.0,49.0,9.0,59.0,67.0,23.0,28.0
2020-04-25,65.0,0.0,7.0,22.0,11.0,11.0,55.0,25.0,6.0,0.0
2020-04-26,50.0,44.0,2.0,28.0,16.0,10.0,58.0,36.0,8.0,30.0
2020-04-27,54.0,0.0,33.0,20.0,9.0,9.0,71.0,31.0,19.0,52.0
2020-04-28,62.0,40.0,35.0,29.0,10.0,6.0,53.0,73.0,19.0,36.0
2020-04-29,68.0,40.0,36.0,51.0,24.0,12.0,53.0,88.0,24.0,55.0
2020-04-30,51.0,0.0,44.0,28.0,13.0,11.0,77.0,50.0,23.0,25.0
2020-05-01,40.0,0.0,39.0,21.0,19.0,13.0,42.0,29.0,26.0,41.0
2020-05-02,63.0,47.0,6.0,36.0,17.0,6.0,75.0,52.0,12.0,32.0
2020-05-03,42.0,0.0,3.0,16.0,22.0,13.0,24.0,24.0,14.0,61.0
2020-05-04,48.0,0.0,37.0,21.0,18.0,16.0,35.0,62.0,16.0,52.0
2020-05-05,63.0,0.0,32.0,28.0,35.0,8.0,43.0,20.0,23.0,0.0
2020-05-06,48.0,0.0,38.0,36.0,19.0,10.0,24.0,51.0,11.0,27.0
2020-05-07,45.0,40.0,35.0,36.0,14.0,17.0,42.0,22.0,13.0,40.0
2020-05-08,63.0,0.0,31.0,26.0,9.0,17.0,47.0,43.0,24.0,0.0
2020-05-09,48.0,0.0,4.0,18.0,20.0,11.0,28.0,31.0,12.0,0.0
2020-05-10,37.0,0.0,3.0,28.0,20.0,6.0,34.0,35.0,9.0,29.0
2020-05-11,41.0,39.0,30.0,26.0,0.0,9.0,71.0,42.0,16.0,26.0
2020-05-12,52.0,0.0,32.0,23.0,0.0,13.0,57.0,50.0,28.0,44.0
2020-05-13,66.0,0.0,33.0,27.0,14.0,8.0,41.0,43.0,21.0,27.0
2020-05-14,38.0,0.0,35.0,19.0,0.0,10.0,32.0,65.0,14.0,55.0
2020-05-15,63.0,0.0,36.0,16.0,33.0,6.0,72.0,50.0,21.0,27.0
2020-05-16,38.0,0.0,3.0,15.0,22.0,8.0,68.0,25.0,10.0,0.0
2020-05-17,39.0,48.0,5.0,44.0,0.0,23.0,32.0,39.0,14.0,33.0
2020-05-18,26.0,0.0,34.0,28.0,26.0,6.0,46.0,24.0,21.0,30.0
2020-05-19,79.0,80.0,34.0,30.0,19.0,10.0,73.0,43.0,14.0,0.0
2020-05-20,64.0,40.0,28.0,27.0,0.0,15.0,71.0,44.0,25.0,54.0
