,relationship,cheating,condom,sexting,frequentation,mating,marriage,jealous,long distance,breakup
2020-05-04,39.0,22.0,29.0,0.0,0.0,41.0,29.0,0.0,42.0,0.0
2020-05-05,70.0,29.0,27.0,36.0,0.0,0.0,41.0,24.0,20.0,31.0
2020-05-06,59.0,21.0,36.0,0.0,0.0,86.0,18.0,0.0,33.0,46.0
2020-05-07,52.0,35.0,42.0,40.0,38.0,0.0,33.0,39.0,33.0,0.0
2020-05-08,59.0,35.0,30.0,0.0,37.0,0.0,21.0,78.0,33.0,23.0
2020-05-09,71.0,20.0,39.0,0.0,0.0,46.0,49.0,46.0,35.0,24.0
2020-05-10,64.0,35.0,39.0,0.0,41.0,0.0,30.0,42.0,48.0,25.0
2020-05-11,79.0,47.0,26.0,0.0,0.0,42.0,38.0,42.0,0.0,44.0
2020-05-12,76.0,32.0,35.0,39.0,0.0,43.0,30.0,77.0,32.0,22.0
2020-05-13,51.0,37.0,18.0,0.0,38.0,0.0,33.0,0.0,22.0,23.0
2020-05-14,64.0,28.0,30.0,0.0,0.0,44.0,37.0,79.0,22.0,0.0
2020-05-15,65.0,18.0,18.0,39.0,37.0,57.0,21.0,26.0,29.0,0.0
2020-05-16,56.0,49.0,43.0,0.0,0.0,0.0,36.0,30.0,26.0,27.0
2020-05-17,67.0,34.0,22.0,48.0,46.0,53.0,22.0,0.0,80.0,55.0
2020-05-18,73.0,31.0,40.0,66.0,0.0,48.0,27.0,28.0,36.0,100.0
2020-05-19,76.0,18.0,30.0,39.0,0.0,43.0,30.0,26.0,22.0,0.0
2020-05-20,60.0,14.0,27.0,0.0,0.0,88.0,32.0,26.0,56.0,23.0
