,jewelry,diamond ring,earrings,bracelet,watch,Pandora,Tiffany & Co	,Swarovski,piercing,ring
2020-03-29,74.0,34.0,77.0,48.0,81.0,33.0,0.0,14.0,52.0,73.0
2020-03-30,30.0,0.0,21.0,47.0,55.0,20.0,0.0,25.0,25.0,59.0
2020-03-31,34.0,0.0,28.0,57.0,50.0,24.0,0.0,17.0,38.0,54.0
2020-04-01,45.0,0.0,62.0,60.0,43.0,22.0,0.0,29.0,72.0,66.0
2020-04-02,33.0,61.0,27.0,70.0,55.0,25.0,0.0,24.0,37.0,52.0
2020-04-03,34.0,0.0,42.0,63.0,59.0,14.0,0.0,50.0,70.0,45.0
2020-04-04,36.0,0.0,25.0,41.0,66.0,35.0,0.0,49.0,15.0,78.0
2020-04-05,23.0,0.0,45.0,53.0,73.0,36.0,0.0,95.0,41.0,73.0
2020-04-06,52.0,0.0,60.0,49.0,51.0,20.0,0.0,71.0,18.0,53.0
2020-04-07,36.0,0.0,48.0,55.0,46.0,31.0,0.0,33.0,22.0,37.0
2020-04-08,35.0,30.0,31.0,38.0,51.0,26.0,0.0,48.0,27.0,33.0
2020-04-09,46.0,0.0,26.0,26.0,58.0,36.0,72.0,23.0,33.0,54.0
2020-04-10,62.0,47.0,50.0,63.0,67.0,42.0,0.0,42.0,53.0,63.0
2020-04-11,33.0,100.0,23.0,42.0,67.0,43.0,0.0,54.0,62.0,56.0
2020-04-12,46.0,0.0,56.0,62.0,63.0,29.0,0.0,34.0,61.0,93.0
2020-04-13,51.0,31.0,42.0,58.0,58.0,35.0,0.0,25.0,37.0,57.0
2020-04-14,53.0,30.0,20.0,39.0,57.0,32.0,0.0,56.0,58.0,74.0
2020-04-15,38.0,30.0,41.0,54.0,65.0,37.0,0.0,40.0,49.0,65.0
2020-04-16,42.0,30.0,55.0,55.0,58.0,36.0,0.0,33.0,28.0,64.0
2020-04-17,30.0,30.0,41.0,60.0,53.0,39.0,0.0,49.0,50.0,58.0
2020-04-18,56.0,35.0,36.0,42.0,64.0,34.0,0.0,81.0,50.0,69.0
2020-04-19,54.0,33.0,37.0,61.0,76.0,28.0,0.0,66.0,33.0,66.0
2020-04-20,59.0,30.0,72.0,54.0,60.0,38.0,0.0,49.0,24.0,64.0
2020-04-21,35.0,30.0,73.0,59.0,62.0,36.0,0.0,40.0,45.0,65.0
2020-04-22,50.0,0.0,61.0,62.0,71.0,46.0,74.0,28.0,21.0,51.0
2020-04-23,36.0,30.0,89.0,42.0,51.0,44.0,0.0,33.0,43.0,72.0
2020-04-24,63.0,0.0,21.0,42.0,56.0,47.0,0.0,26.0,29.0,61.0
2020-04-25,43.0,55.0,25.0,56.0,72.0,47.0,92.0,30.0,28.0,68.0
2020-04-26,71.0,0.0,58.0,62.0,59.0,51.0,0.0,51.0,56.0,66.0
2020-04-27,27.0,30.0,27.0,44.0,60.0,38.0,0.0,60.0,40.0,60.0
2020-04-28,62.0,47.0,64.0,59.0,42.0,30.0,0.0,38.0,45.0,69.0
2020-04-29,60.0,32.0,29.0,44.0,52.0,28.0,0.0,26.0,29.0,61.0
2020-04-30,45.0,0.0,52.0,62.0,49.0,38.0,0.0,31.0,32.0,60.0
