,Libertarian,Bloc Quebecois,PQ,PPC,Quebec Solidaire,CAQ,Conservative Party,Green Party,Liberal Party,NDP
2020-05-03,0.0,42.0,33.0,0.0,33.0,26.0,0.0,0.0,0.0,41.0
2020-05-04,47.0,35.0,27.0,24.0,27.0,32.0,37.0,0.0,0.0,34.0
2020-05-05,0.0,34.0,24.0,24.0,39.0,31.0,0.0,0.0,0.0,44.0
2020-05-06,49.0,56.0,51.0,52.0,57.0,46.0,0.0,0.0,0.0,55.0
2020-05-07,0.0,37.0,56.0,26.0,0.0,23.0,0.0,0.0,0.0,36.0
2020-05-08,0.0,0.0,31.0,26.0,43.0,63.0,39.0,0.0,0.0,54.0
2020-05-09,0.0,0.0,40.0,83.0,30.0,18.0,41.0,0.0,0.0,39.0
2020-05-10,0.0,40.0,51.0,56.0,31.0,25.0,42.0,0.0,0.0,39.0
2020-05-11,0.0,0.0,41.0,37.0,37.0,61.0,0.0,0.0,46.0,0.0
2020-05-12,0.0,36.0,43.0,0.0,0.0,33.0,0.0,40.0,91.0,35.0
2020-05-13,49.0,0.0,38.0,26.0,0.0,51.0,0.0,42.0,46.0,36.0
2020-05-14,50.0,37.0,43.0,0.0,29.0,58.0,0.0,42.0,47.0,36.0
2020-05-15,0.0,37.0,31.0,38.0,56.0,56.0,77.0,41.0,45.0,36.0
2020-05-16,59.0,0.0,29.0,46.0,34.0,27.0,0.0,0.0,0.0,43.0
2020-05-17,60.0,0.0,27.0,32.0,52.0,14.0,0.0,0.0,0.0,44.0
2020-05-18,55.0,41.0,44.0,0.0,32.0,19.0,0.0,0.0,0.0,60.0
2020-05-19,0.0,37.0,44.0,26.0,28.0,22.0,39.0,0.0,0.0,0.0
2020-05-20,0.0,38.0,40.0,52.0,0.0,12.0,0.0,42.0,0.0,73.0
2020-05-21,0.0,0.0,41.0,27.0,30.0,24.0,0.0,0.0,0.0,37.0
