,McDonalds,KFC,Pizza hut,Burger King,Wendy,A & W,St-Hubert,Métro,Domino,Taco Bell
2020-04-17,29.0,40.0,65.0,21.0,39.0,28.0,64.0,47.0,100.0,0.0
2020-04-18,27.0,98.0,47.0,44.0,54.0,64.0,58.0,46.0,51.0,45.0
2020-04-19,37.0,67.0,53.0,40.0,55.0,0.0,49.0,27.0,53.0,0.0
2020-04-20,16.0,66.0,45.0,30.0,61.0,0.0,36.0,51.0,31.0,19.0
2020-04-21,18.0,52.0,37.0,37.0,40.0,27.0,36.0,37.0,48.0,0.0
2020-04-22,34.0,53.0,42.0,27.0,35.0,54.0,33.0,64.0,37.0,0.0
2020-04-23,27.0,40.0,28.0,38.0,31.0,27.0,34.0,43.0,69.0,39.0
2020-04-24,21.0,47.0,97.0,36.0,43.0,58.0,48.0,31.0,52.0,20.0
2020-04-25,29.0,97.0,55.0,62.0,19.0,83.0,56.0,35.0,23.0,24.0
2020-04-26,21.0,66.0,67.0,58.0,76.0,31.0,38.0,24.0,85.0,0.0
2020-04-27,25.0,20.0,28.0,46.0,35.0,27.0,37.0,41.0,92.0,19.0
2020-04-28,23.0,50.0,44.0,53.0,24.0,28.0,40.0,38.0,45.0,30.0
2020-04-29,20.0,51.0,37.0,47.0,49.0,0.0,37.0,52.0,65.0,20.0
2020-04-30,37.0,42.0,51.0,48.0,15.0,0.0,37.0,46.0,35.0,37.0
2020-05-01,27.0,100.0,85.0,35.0,42.0,28.0,53.0,44.0,45.0,20.0
2020-05-02,29.0,27.0,69.0,63.0,31.0,33.0,49.0,42.0,91.0,24.0
2020-05-03,28.0,77.0,55.0,56.0,42.0,32.0,53.0,19.0,58.0,68.0
2020-05-04,23.0,30.0,30.0,26.0,30.0,26.0,36.0,30.0,48.0,0.0
2020-05-05,15.0,21.0,40.0,22.0,14.0,51.0,43.0,52.0,46.0,36.0
2020-05-06,21.0,36.0,39.0,35.0,37.0,42.0,36.0,55.0,51.0,40.0
