,allergies,flu,diarrhea,headache,stomach Ache,anorexia,vomiting,asthma,bronchitis,back pain
2020-04-26,45.0,16.0,33.0,42.0,0.0,31.0,21.0,23.0,0.0,52.0
2020-04-27,54.0,16.0,15.0,28.0,0.0,41.0,37.0,30.0,0.0,55.0
2020-04-28,57.0,12.0,30.0,29.0,39.0,0.0,20.0,83.0,0.0,57.0
2020-04-29,42.0,21.0,31.0,34.0,79.0,0.0,39.0,53.0,19.0,59.0
2020-04-30,61.0,14.0,42.0,18.0,0.0,0.0,18.0,57.0,17.0,29.0
2020-05-01,56.0,12.0,30.0,33.0,39.0,0.0,29.0,36.0,0.0,21.0
2020-05-02,55.0,10.0,54.0,23.0,0.0,50.0,0.0,18.0,0.0,37.0
2020-05-03,58.0,21.0,68.0,24.0,44.0,32.0,33.0,18.0,0.0,71.0
2020-05-04,63.0,9.0,43.0,31.0,0.0,0.0,45.0,34.0,17.0,29.0
2020-05-05,51.0,14.0,34.0,56.0,0.0,0.0,41.0,42.0,0.0,80.0
2020-05-06,67.0,19.0,30.0,48.0,39.0,28.0,39.0,23.0,18.0,42.0
2020-05-07,36.0,12.0,15.0,43.0,0.0,28.0,0.0,23.0,0.0,62.0
2020-05-08,56.0,14.0,75.0,24.0,0.0,0.0,48.0,31.0,0.0,52.0
2020-05-09,71.0,12.0,48.0,46.0,0.0,30.0,20.0,22.0,0.0,89.0
2020-05-10,77.0,20.0,0.0,26.0,42.0,31.0,28.0,17.0,0.0,34.0
2020-05-11,30.0,7.0,15.0,56.0,0.0,0.0,31.0,23.0,17.0,40.0
2020-05-12,64.0,9.0,58.0,46.0,0.0,27.0,56.0,46.0,0.0,40.0
2020-05-13,46.0,12.0,22.0,52.0,38.0,42.0,29.0,21.0,0.0,31.0
2020-05-14,72.0,10.0,45.0,34.0,39.0,28.0,19.0,23.0,0.0,42.0
2020-05-15,100.0,10.0,52.0,70.0,0.0,27.0,19.0,15.0,18.0,46.0
2020-05-16,54.0,15.0,45.0,45.0,91.0,33.0,23.0,18.0,21.0,37.0
2020-05-17,43.0,15.0,100.0,26.0,0.0,0.0,23.0,0.0,22.0,69.0
2020-05-18,62.0,18.0,33.0,53.0,0.0,0.0,21.0,17.0,0.0,63.0
2020-05-19,35.0,9.0,22.0,52.0,38.0,0.0,38.0,23.0,18.0,61.0
2020-05-20,41.0,13.0,46.0,58.0,39.0,56.0,29.0,21.0,18.0,63.0
2020-05-21,74.0,11.0,31.0,49.0,80.0,0.0,20.0,32.0,0.0,40.0
