,Simons,Canadian tire,La Baie,Home hardware	,Old Navy,Sears,Aldo,Dollarama,Structube,Reitmans
2020-04-24,75.0,50.0,70.0,59.0,78.0,41.0,20.0,58.0,57.0,28.0
2020-04-25,72.0,71.0,71.0,64.0,71.0,47.0,23.0,48.0,65.0,22.0
2020-04-26,100.0,57.0,79.0,59.0,73.0,22.0,28.0,55.0,75.0,31.0
2020-04-27,66.0,53.0,69.0,65.0,50.0,29.0,21.0,54.0,56.0,21.0
2020-04-28,85.0,50.0,76.0,60.0,59.0,100.0,21.0,62.0,56.0,17.0
2020-04-29,67.0,53.0,62.0,62.0,55.0,27.0,15.0,50.0,54.0,25.0
2020-04-30,67.0,49.0,57.0,50.0,57.0,43.0,23.0,48.0,60.0,26.0
2020-05-01,69.0,53.0,69.0,61.0,70.0,20.0,23.0,49.0,54.0,26.0
2020-05-02,91.0,76.0,67.0,97.0,77.0,24.0,21.0,61.0,73.0,28.0
2020-05-03,84.0,64.0,90.0,55.0,79.0,0.0,18.0,56.0,76.0,42.0
2020-05-04,87.0,50.0,72.0,70.0,77.0,47.0,22.0,51.0,80.0,31.0
2020-05-05,77.0,50.0,84.0,48.0,68.0,18.0,17.0,51.0,78.0,43.0
2020-05-06,70.0,52.0,79.0,61.0,60.0,30.0,23.0,43.0,71.0,23.0
2020-05-07,82.0,54.0,73.0,65.0,56.0,46.0,100.0,64.0,75.0,33.0
2020-05-08,71.0,49.0,80.0,66.0,64.0,49.0,100.0,57.0,78.0,36.0
2020-05-09,84.0,59.0,89.0,85.0,79.0,35.0,64.0,71.0,92.0,60.0
2020-05-10,80.0,43.0,84.0,47.0,61.0,36.0,40.0,51.0,92.0,44.0
2020-05-11,77.0,44.0,76.0,53.0,51.0,0.0,24.0,47.0,60.0,38.0
2020-05-12,80.0,42.0,69.0,62.0,63.0,19.0,28.0,48.0,64.0,38.0
2020-05-13,84.0,48.0,71.0,66.0,81.0,59.0,29.0,50.0,66.0,41.0
2020-05-14,77.0,50.0,81.0,67.0,75.0,53.0,30.0,52.0,62.0,36.0
2020-05-15,80.0,49.0,67.0,86.0,72.0,19.0,26.0,47.0,82.0,33.0
2020-05-16,73.0,72.0,72.0,97.0,92.0,59.0,23.0,66.0,86.0,37.0
2020-05-17,87.0,73.0,100.0,64.0,91.0,48.0,18.0,73.0,82.0,32.0
2020-05-18,92.0,100.0,86.0,100.0,100.0,22.0,21.0,96.0,76.0,55.0
2020-05-19,97.0,61.0,83.0,81.0,60.0,69.0,36.0,59.0,59.0,100.0
2020-05-20,83.0,63.0,71.0,99.0,84.0,60.0,26.0,51.0,68.0,68.0
2020-05-21,87.0,66.0,90.0,92.0,98.0,31.0,21.0,48.0,55.0,65.0
