,bague de fiançailles,robe de mariée,Marié,anniversaire de mariage,fiançaille,la mariée,en espèces,cérémonie,salle de mariage,engagement
2020-03-31,0.0,20.0,26.0,0.0,0.0,0.0,0.0,26.0,0.0,39.0
2020-04-01,0.0,19.0,25.0,0.0,0.0,0.0,48.0,0.0,0.0,17.0
2020-04-02,0.0,19.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,42.0
2020-04-03,0.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
2020-04-04,0.0,0.0,30.0,33.0,0.0,29.0,0.0,31.0,0.0,30.0
2020-04-05,0.0,21.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,23.0
2020-04-06,0.0,18.0,24.0,0.0,0.0,23.0,0.0,25.0,0.0,70.0
2020-04-07,0.0,19.0,50.0,27.0,0.0,24.0,47.0,0.0,0.0,25.0
2020-04-08,0.0,18.0,37.0,27.0,0.0,24.0,0.0,0.0,0.0,38.0
2020-04-09,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
2020-04-10,0.0,29.0,26.0,28.0,0.0,50.0,49.0,27.0,0.0,31.0
2020-04-11,0.0,0.0,41.0,0.0,0.0,27.0,0.0,0.0,0.0,42.0
2020-04-12,0.0,44.0,49.0,0.0,0.0,42.0,0.0,0.0,45.0,30.0
2020-04-13,0.0,29.0,50.0,0.0,0.0,49.0,0.0,26.0,0.0,19.0
2020-04-14,0.0,0.0,49.0,0.0,0.0,23.0,46.0,0.0,0.0,50.0
2020-04-15,0.0,0.0,25.0,27.0,0.0,24.0,93.0,25.0,0.0,25.0
2020-04-16,0.0,38.0,0.0,27.0,0.0,24.0,47.0,51.0,0.0,34.0
2020-04-17,72.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,59.0,38.0
2020-04-18,0.0,44.0,29.0,0.0,0.0,0.0,0.0,30.0,0.0,25.0
2020-04-19,0.0,20.0,45.0,49.0,0.0,34.0,0.0,0.0,0.0,27.0
2020-04-20,0.0,19.0,25.0,41.0,0.0,24.0,0.0,0.0,39.0,29.0
2020-04-21,0.0,18.0,24.0,27.0,0.0,0.0,46.0,25.0,37.0,25.0
2020-04-22,0.0,37.0,25.0,27.0,0.0,24.0,0.0,25.0,38.0,33.0
2020-04-23,0.0,19.0,25.0,27.0,0.0,24.0,0.0,0.0,0.0,17.0
2020-04-24,0.0,0.0,35.0,0.0,0.0,25.0,0.0,0.0,40.0,27.0
2020-04-25,0.0,46.0,30.0,33.0,0.0,29.0,57.0,0.0,0.0,31.0
2020-04-26,0.0,43.0,71.0,0.0,0.0,27.0,0.0,44.0,0.0,22.0
