,rap,rock,jazz	,blues,country,heavy metal,hip hop,classical music,bob marley,beatles
2020-04-04,36.0,65.0,42.0,36.0,83.0,21.0,58.0,45.0,31.0,43.0
2020-04-05,29.0,60.0,25.0,31.0,86.0,0.0,33.0,37.0,14.0,40.0
2020-04-06,23.0,52.0,41.0,23.0,65.0,0.0,12.0,24.0,25.0,45.0
2020-04-07,36.0,48.0,34.0,24.0,64.0,18.0,55.0,0.0,52.0,42.0
2020-04-08,15.0,46.0,26.0,19.0,61.0,0.0,60.0,25.0,19.0,36.0
2020-04-09,34.0,54.0,44.0,33.0,62.0,0.0,52.0,24.0,12.0,30.0
2020-04-10,34.0,49.0,33.0,25.0,69.0,27.0,31.0,0.0,20.0,75.0
2020-04-11,26.0,65.0,31.0,36.0,58.0,0.0,27.0,83.0,29.0,57.0
2020-04-12,18.0,53.0,35.0,41.0,81.0,20.0,42.0,29.0,30.0,73.0
2020-04-13,29.0,63.0,29.0,20.0,55.0,18.0,49.0,25.0,33.0,37.0
2020-04-14,28.0,55.0,23.0,28.0,59.0,52.0,53.0,25.0,26.0,30.0
2020-04-15,27.0,53.0,30.0,34.0,59.0,17.0,42.0,0.0,13.0,26.0
2020-04-16,26.0,54.0,26.0,39.0,58.0,18.0,30.0,0.0,52.0,41.0
2020-04-17,36.0,60.0,52.0,35.0,65.0,0.0,18.0,25.0,13.0,36.0
2020-04-18,29.0,61.0,23.0,18.0,72.0,0.0,35.0,29.0,38.0,71.0
2020-04-19,36.0,68.0,29.0,40.0,68.0,0.0,33.0,27.0,14.0,95.0
2020-04-20,29.0,51.0,30.0,45.0,59.0,0.0,24.0,41.0,96.0,56.0
2020-04-21,21.0,57.0,39.0,46.0,53.0,0.0,29.0,24.0,25.0,30.0
2020-04-22,30.0,63.0,17.0,32.0,56.0,0.0,42.0,0.0,26.0,31.0
2020-04-23,20.0,50.0,35.0,30.0,52.0,0.0,36.0,37.0,0.0,10.0
2020-04-24,26.0,52.0,19.0,38.0,49.0,0.0,63.0,26.0,14.0,43.0
2020-04-25,17.0,57.0,32.0,29.0,59.0,42.0,51.0,30.0,47.0,31.0
2020-04-26,44.0,69.0,14.0,30.0,63.0,20.0,27.0,28.0,74.0,58.0
2020-04-27,24.0,61.0,24.0,34.0,68.0,35.0,24.0,37.0,38.0,25.0
2020-04-28,35.0,54.0,33.0,51.0,54.0,0.0,19.0,26.0,13.0,32.0
2020-04-29,17.0,64.0,20.0,24.0,53.0,0.0,31.0,0.0,27.0,27.0
2020-04-30,24.0,56.0,43.0,27.0,51.0,0.0,34.0,24.0,25.0,39.0
2020-05-01,32.0,54.0,31.0,31.0,54.0,18.0,31.0,0.0,26.0,32.0
2020-05-02,23.0,61.0,28.0,32.0,58.0,21.0,37.0,30.0,16.0,13.0
2020-05-03,26.0,72.0,37.0,35.0,71.0,0.0,35.0,29.0,15.0,66.0
2020-05-04,32.0,58.0,22.0,30.0,52.0,34.0,30.0,0.0,32.0,35.0
2020-05-05,22.0,52.0,18.0,26.0,48.0,16.0,11.0,35.0,12.0,29.0
2020-05-06,33.0,58.0,47.0,20.0,45.0,45.0,49.0,26.0,0.0,32.0
2020-05-07,25.0,55.0,36.0,25.0,47.0,36.0,37.0,38.0,40.0,11.0
2020-05-08,37.0,69.0,43.0,31.0,44.0,35.0,25.0,25.0,13.0,26.0
2020-05-09,31.0,76.0,29.0,33.0,39.0,19.0,40.0,41.0,35.0,28.0
2020-05-10,47.0,65.0,29.0,34.0,62.0,19.0,27.0,28.0,14.0,68.0
2020-05-11,20.0,61.0,19.0,26.0,50.0,17.0,48.0,0.0,32.0,46.0
2020-05-12,100.0,59.0,39.0,31.0,39.0,44.0,24.0,25.0,33.0,41.0
2020-05-13,58.0,53.0,29.0,31.0,48.0,0.0,12.0,51.0,26.0,74.0
2020-05-14,38.0,46.0,16.0,25.0,41.0,0.0,37.0,26.0,80.0,32.0
2020-05-15,29.0,59.0,35.0,33.0,53.0,0.0,18.0,100.0,26.0,31.0
2020-05-16,28.0,85.0,23.0,47.0,52.0,21.0,36.0,60.0,23.0,25.0
2020-05-17,19.0,69.0,50.0,49.0,55.0,22.0,30.0,31.0,24.0,64.0
2020-05-18,27.0,70.0,40.0,32.0,49.0,20.0,27.0,0.0,51.0,29.0
2020-05-19,19.0,50.0,21.0,30.0,45.0,45.0,25.0,25.0,13.0,21.0
2020-05-20,29.0,57.0,36.0,30.0,40.0,0.0,12.0,0.0,20.0,21.0
