,blood pressure,hospitals near,dry cough,cancer symptoms,coronavirus symptoms,sore throat,HIV,health insurance,ambulance,fever
2020-03-29,49.0,82.0,0.0,22.0,11.0,51.0,49.0,37.0,61.0,60.0
2020-03-30,25.0,0.0,26.0,20.0,9.0,12.0,58.0,49.0,40.0,34.0
2020-03-31,45.0,0.0,0.0,40.0,9.0,47.0,34.0,43.0,56.0,24.0
2020-04-01,31.0,0.0,53.0,39.0,8.0,38.0,39.0,50.0,48.0,28.0
2020-04-02,38.0,0.0,39.0,19.0,10.0,50.0,33.0,25.0,20.0,51.0
2020-04-03,45.0,0.0,53.0,39.0,8.0,30.0,45.0,59.0,55.0,41.0
2020-04-04,22.0,0.0,31.0,23.0,10.0,45.0,46.0,59.0,48.0,43.0
2020-04-05,34.0,0.0,29.0,21.0,8.0,27.0,48.0,27.0,44.0,37.0
2020-04-06,54.0,0.0,25.0,0.0,4.0,20.0,32.0,48.0,30.0,25.0
2020-04-07,50.0,0.0,65.0,0.0,5.0,50.0,41.0,50.0,41.0,32.0
2020-04-08,37.0,0.0,26.0,19.0,5.0,33.0,32.0,85.0,40.0,40.0
2020-04-09,72.0,0.0,0.0,28.0,7.0,24.0,52.0,47.0,19.0,26.0
2020-04-10,52.0,0.0,36.0,20.0,6.0,30.0,45.0,34.0,52.0,35.0
2020-04-11,70.0,0.0,29.0,32.0,4.0,21.0,18.0,27.0,22.0,21.0
2020-04-12,29.0,85.0,30.0,0.0,4.0,24.0,38.0,29.0,47.0,57.0
2020-04-13,44.0,0.0,0.0,0.0,3.0,25.0,22.0,37.0,41.0,13.0
2020-04-14,37.0,0.0,26.0,29.0,3.0,20.0,48.0,24.0,20.0,27.0
2020-04-15,31.0,0.0,26.0,38.0,5.0,12.0,16.0,41.0,40.0,23.0
2020-04-16,44.0,0.0,0.0,29.0,2.0,33.0,57.0,49.0,54.0,40.0
2020-04-17,50.0,0.0,26.0,20.0,3.0,13.0,61.0,37.0,47.0,21.0
2020-04-18,43.0,0.0,30.0,45.0,2.0,43.0,57.0,28.0,70.0,37.0
2020-04-19,47.0,0.0,28.0,42.0,3.0,27.0,41.0,40.0,36.0,30.0
2020-04-20,74.0,0.0,0.0,29.0,4.0,16.0,41.0,36.0,27.0,27.0
2020-04-21,24.0,71.0,25.0,19.0,4.0,12.0,32.0,24.0,20.0,20.0
2020-04-22,31.0,0.0,26.0,38.0,4.0,12.0,16.0,40.0,70.0,31.0
2020-04-23,12.0,0.0,26.0,58.0,3.0,43.0,27.0,49.0,40.0,38.0
2020-04-24,59.0,0.0,0.0,0.0,4.0,35.0,23.0,26.0,64.0,20.0
2020-04-25,75.0,88.0,0.0,23.0,4.0,15.0,33.0,30.0,73.0,23.0
2020-04-26,35.0,0.0,30.0,0.0,5.0,42.0,43.0,0.0,23.0,21.0
2020-04-27,74.0,0.0,26.0,19.0,2.0,31.0,43.0,33.0,20.0,21.0
2020-04-28,58.0,0.0,27.0,20.0,3.0,21.0,17.0,26.0,21.0,24.0
2020-04-29,39.0,0.0,55.0,20.0,1.0,13.0,60.0,51.0,49.0,22.0
2020-04-30,65.0,0.0,0.0,18.0,2.0,16.0,54.0,31.0,32.0,28.0
2020-05-01,51.0,0.0,26.0,0.0,4.0,17.0,59.0,34.0,28.0,32.0
2020-05-02,53.0,0.0,32.0,24.0,3.0,30.0,50.0,40.0,58.0,15.0
2020-05-03,72.0,0.0,30.0,22.0,2.0,29.0,25.0,57.0,82.0,15.0
2020-05-04,31.0,0.0,0.0,38.0,2.0,12.0,32.0,40.0,39.0,27.0
2020-05-05,29.0,0.0,24.0,0.0,3.0,23.0,56.0,23.0,56.0,28.0
2020-05-06,51.0,0.0,0.0,0.0,2.0,26.0,22.0,25.0,62.0,30.0
2020-05-07,57.0,0.0,0.0,0.0,3.0,13.0,50.0,42.0,48.0,28.0
2020-05-08,51.0,0.0,27.0,20.0,1.0,21.0,42.0,59.0,27.0,28.0
2020-05-09,21.0,0.0,0.0,0.0,3.0,55.0,27.0,41.0,52.0,23.0
2020-05-10,41.0,0.0,29.0,43.0,2.0,18.0,30.0,83.0,45.0,19.0
2020-05-11,50.0,0.0,39.0,38.0,3.0,12.0,22.0,41.0,40.0,21.0
2020-05-12,56.0,0.0,0.0,19.0,3.0,25.0,49.0,25.0,61.0,30.0
2020-05-13,19.0,0.0,0.0,20.0,3.0,21.0,33.0,100.0,41.0,28.0
2020-05-14,45.0,0.0,27.0,30.0,2.0,30.0,17.0,25.0,56.0,39.0
2020-05-15,69.0,0.0,26.0,20.0,3.0,25.0,22.0,25.0,41.0,13.0
2020-05-16,83.0,0.0,0.0,0.0,1.0,15.0,50.0,59.0,32.0,28.0
2020-05-17,39.0,0.0,32.0,24.0,3.0,23.0,34.0,82.0,42.0,13.0
2020-05-18,85.0,0.0,0.0,22.0,2.0,14.0,25.0,42.0,46.0,21.0
2020-05-19,57.0,0.0,27.0,30.0,2.0,21.0,33.0,67.0,61.0,9.0
2020-05-20,39.0,0.0,27.0,0.0,1.0,51.0,17.0,63.0,0.0,31.0
