,pilates,zumba,gym,aerobic,weight loss,yoga,jogging,squat,push-up,running
2020-04-18,26.0,17.0,21.0,26.0,31.0,56.0,64.0,80.0,0.0,73.0
2020-04-19,26.0,48.0,16.0,23.0,26.0,60.0,84.0,49.0,0.0,78.0
2020-04-20,19.0,30.0,14.0,0.0,26.0,57.0,46.0,87.0,0.0,81.0
2020-04-21,0.0,29.0,13.0,21.0,32.0,62.0,63.0,96.0,0.0,69.0
2020-04-22,43.0,67.0,19.0,22.0,34.0,65.0,32.0,90.0,0.0,84.0
2020-04-23,34.0,30.0,15.0,22.0,41.0,61.0,60.0,34.0,78.0,66.0
2020-04-24,15.0,40.0,13.0,23.0,30.0,54.0,44.0,92.0,82.0,81.0
2020-04-25,27.0,37.0,16.0,27.0,35.0,54.0,61.0,32.0,0.0,69.0
2020-04-26,33.0,60.0,15.0,25.0,35.0,44.0,53.0,43.0,88.0,95.0
2020-04-27,36.0,37.0,16.0,32.0,28.0,60.0,32.0,45.0,0.0,87.0
2020-04-28,40.0,23.0,22.0,23.0,38.0,49.0,62.0,51.0,0.0,77.0
2020-04-29,31.0,32.0,17.0,23.0,28.0,51.0,59.0,84.0,0.0,53.0
2020-04-30,35.0,29.0,18.0,41.0,23.0,48.0,48.0,79.0,73.0,80.0
2020-05-01,25.0,23.0,14.0,23.0,23.0,41.0,33.0,70.0,0.0,79.0
2020-05-02,36.0,18.0,19.0,0.0,30.0,57.0,39.0,46.0,0.0,85.0
2020-05-03,17.0,35.0,15.0,0.0,26.0,54.0,75.0,58.0,0.0,84.0
2020-05-04,14.0,37.0,12.0,0.0,40.0,56.0,63.0,81.0,0.0,92.0
2020-05-05,21.0,28.0,16.0,0.0,32.0,60.0,52.0,64.0,0.0,100.0
2020-05-06,20.0,62.0,10.0,23.0,88.0,50.0,52.0,67.0,0.0,71.0
2020-05-07,20.0,31.0,11.0,23.0,71.0,47.0,52.0,51.0,0.0,73.0
2020-05-08,15.0,15.0,10.0,22.0,100.0,41.0,71.0,58.0,0.0,77.0
2020-05-09,27.0,67.0,15.0,0.0,47.0,44.0,55.0,79.0,0.0,76.0
2020-05-10,41.0,42.0,13.0,24.0,43.0,52.0,62.0,55.0,0.0,82.0
2020-05-11,39.0,30.0,18.0,22.0,35.0,43.0,60.0,53.0,0.0,93.0
2020-05-12,29.0,38.0,12.0,22.0,16.0,48.0,69.0,49.0,0.0,68.0
2020-05-13,37.0,62.0,16.0,22.0,33.0,53.0,47.0,62.0,0.0,79.0
2020-05-14,25.0,16.0,19.0,23.0,46.0,46.0,38.0,59.0,0.0,83.0
2020-05-15,22.0,0.0,18.0,44.0,29.0,50.0,51.0,46.0,0.0,60.0
2020-05-16,36.0,18.0,21.0,40.0,30.0,56.0,45.0,69.0,0.0,82.0
2020-05-17,18.0,38.0,16.0,28.0,20.0,36.0,52.0,52.0,0.0,98.0
2020-05-18,17.0,26.0,19.0,25.0,28.0,51.0,52.0,30.0,88.0,79.0
2020-05-19,30.0,0.0,13.0,0.0,31.0,45.0,56.0,35.0,78.0,92.0
2020-05-20,15.0,62.0,19.0,23.0,27.0,48.0,29.0,43.0,0.0,78.0
2020-05-21,62.0,32.0,25.0,0.0,32.0,46.0,39.0,36.0,0.0,89.0
