,funeral,death,coffin,dead,cremation,after death,heaven ,murder,hell,soul
2020-05-09,36.0,47.0,62.0,51.0,35.0,0.0,98.0,33.0,51.0,66.0
2020-05-10,36.0,44.0,63.0,53.0,0.0,35.0,100.0,43.0,51.0,46.0
2020-05-11,33.0,44.0,31.0,36.0,0.0,63.0,54.0,22.0,43.0,48.0
2020-05-12,56.0,30.0,44.0,38.0,32.0,31.0,57.0,18.0,43.0,46.0
2020-05-13,33.0,42.0,58.0,37.0,33.0,32.0,48.0,20.0,57.0,33.0
2020-05-14,34.0,39.0,32.0,30.0,33.0,0.0,52.0,14.0,58.0,37.0
2020-05-15,51.0,32.0,32.0,38.0,65.0,0.0,51.0,22.0,53.0,33.0
2020-05-16,32.0,49.0,46.0,41.0,78.0,0.0,85.0,32.0,28.0,63.0
2020-05-17,30.0,57.0,82.0,47.0,80.0,39.0,54.0,27.0,86.0,62.0
2020-05-18,50.0,35.0,32.0,35.0,37.0,36.0,45.0,17.0,71.0,63.0
2020-05-19,27.0,30.0,38.0,31.0,32.0,0.0,98.0,22.0,63.0,54.0
2020-05-20,43.0,41.0,20.0,25.0,33.0,32.0,52.0,19.0,51.0,57.0
2020-05-21,22.0,31.0,60.0,28.0,34.0,33.0,50.0,25.0,60.0,33.0
