,salt,cumin,black pepper,cinnamon,turmeric,fennel,ginger,nutmeg,oregano,curry
2020-05-02,53.0,29.0,0.0,42.0,27.0,34.0,51.0,80.0,28.0,47.0
2020-05-03,50.0,56.0,45.0,80.0,38.0,24.0,58.0,78.0,94.0,83.0
2020-05-04,45.0,35.0,37.0,70.0,84.0,20.0,48.0,0.0,23.0,60.0
2020-05-05,34.0,45.0,71.0,60.0,61.0,19.0,32.0,31.0,0.0,54.0
2020-05-06,43.0,50.0,0.0,59.0,45.0,36.0,67.0,0.0,24.0,35.0
2020-05-07,59.0,37.0,0.0,57.0,45.0,36.0,55.0,34.0,36.0,37.0
2020-05-08,51.0,25.0,39.0,48.0,45.0,35.0,47.0,67.0,95.0,44.0
2020-05-09,70.0,93.0,42.0,56.0,36.0,23.0,71.0,36.0,0.0,52.0
2020-05-10,58.0,0.0,85.0,100.0,73.0,23.0,68.0,36.0,0.0,72.0
2020-05-11,50.0,0.0,0.0,64.0,66.0,0.0,68.0,44.0,46.0,62.0
2020-05-12,48.0,56.0,38.0,47.0,44.0,21.0,53.0,33.0,23.0,66.0
2020-05-13,37.0,33.0,39.0,43.0,45.0,21.0,47.0,50.0,0.0,46.0
2020-05-14,50.0,63.0,80.0,31.0,34.0,21.0,47.0,0.0,36.0,35.0
2020-05-15,42.0,72.0,0.0,43.0,33.0,21.0,31.0,50.0,23.0,43.0
2020-05-16,57.0,39.0,47.0,78.0,0.0,25.0,70.0,100.0,0.0,47.0
2020-05-17,63.0,45.0,48.0,37.0,55.0,26.0,52.0,41.0,44.0,45.0
2020-05-18,81.0,55.0,0.0,53.0,25.0,47.0,69.0,37.0,39.0,36.0
2020-05-19,63.0,41.0,39.0,43.0,44.0,21.0,50.0,33.0,31.0,41.0
2020-05-20,61.0,100.0,40.0,44.0,34.0,22.0,44.0,34.0,24.0,38.0
2020-05-21,66.0,38.0,0.0,27.0,23.0,0.0,65.0,35.0,25.0,25.0
