,bangs,hairstyle,haircut,beard,mullet,moustache,shave,buzz cut,afro,shaving
2020-04-03,26.0,37.0,46.0,40.0,0.0,53.0,48.0,29.0,38.0,26.0
2020-04-04,61.0,22.0,32.0,26.0,0.0,61.0,68.0,0.0,34.0,61.0
2020-04-05,84.0,20.0,54.0,43.0,53.0,19.0,31.0,42.0,0.0,28.0
2020-04-06,25.0,17.0,26.0,29.0,93.0,33.0,37.0,0.0,24.0,50.0
2020-04-07,51.0,36.0,38.0,39.0,32.0,51.0,19.0,58.0,32.0,26.0
2020-04-08,37.0,18.0,37.0,31.0,32.0,34.0,19.0,0.0,37.0,51.0
2020-04-09,73.0,17.0,54.0,21.0,31.0,49.0,63.0,54.0,42.0,24.0
2020-04-10,79.0,19.0,53.0,46.0,33.0,41.0,78.0,0.0,20.0,40.0
2020-04-11,56.0,20.0,46.0,52.0,36.0,47.0,52.0,63.0,52.0,71.0
2020-04-12,50.0,21.0,66.0,55.0,38.0,53.0,33.0,33.0,37.0,30.0
2020-04-13,34.0,18.0,65.0,55.0,0.0,58.0,67.0,0.0,38.0,26.0
2020-04-14,42.0,18.0,22.0,41.0,32.0,34.0,28.0,28.0,0.0,25.0
2020-04-15,63.0,18.0,60.0,24.0,0.0,67.0,46.0,0.0,37.0,25.0
2020-04-16,51.0,36.0,57.0,44.0,48.0,43.0,47.0,28.0,28.0,77.0
2020-04-17,25.0,18.0,57.0,30.0,32.0,43.0,57.0,29.0,76.0,26.0
2020-04-18,29.0,0.0,31.0,34.0,37.0,46.0,65.0,0.0,44.0,30.0
2020-04-19,95.0,19.0,57.0,34.0,34.0,37.0,60.0,0.0,20.0,41.0
2020-04-20,50.0,36.0,75.0,66.0,32.0,17.0,47.0,42.0,50.0,51.0
2020-04-21,25.0,35.0,48.0,55.0,62.0,39.0,37.0,0.0,24.0,25.0
2020-04-22,50.0,36.0,56.0,63.0,95.0,51.0,56.0,28.0,28.0,25.0
2020-04-23,34.0,18.0,57.0,52.0,32.0,43.0,38.0,0.0,57.0,52.0
2020-04-24,36.0,19.0,48.0,52.0,34.0,42.0,59.0,30.0,20.0,81.0
