,Rencontre,tinder,Bumble,Happn,Charnière,en ligne Rencontre,Facebook dating,Coffee Meets Bagel,sugar daddy,OKCupid
2020-05-07,62.0,33.0,22.0,0.0,27.0,0.0,0.0,0.0,0.0,49.0
2020-05-08,55.0,44.0,44.0,0.0,0.0,42.0,0.0,0.0,26.0,24.0
2020-05-09,74.0,59.0,56.0,81.0,14.0,45.0,0.0,0.0,28.0,26.0
2020-05-10,54.0,58.0,16.0,0.0,29.0,0.0,0.0,0.0,28.0,53.0
2020-05-11,35.0,39.0,15.0,0.0,13.0,41.0,74.0,0.0,38.0,24.0
2020-05-12,54.0,54.0,24.0,74.0,26.0,0.0,0.0,0.0,25.0,0.0
2020-05-13,45.0,55.0,34.0,0.0,0.0,41.0,0.0,0.0,0.0,24.0
2020-05-14,42.0,33.0,30.0,0.0,20.0,0.0,77.0,0.0,26.0,24.0
2020-05-15,62.0,40.0,36.0,0.0,13.0,0.0,37.0,0.0,26.0,36.0
2020-05-16,76.0,57.0,26.0,0.0,0.0,0.0,0.0,0.0,31.0,86.0
2020-05-17,70.0,40.0,37.0,0.0,16.0,0.0,0.0,0.0,32.0,30.0
2020-05-18,40.0,57.0,27.0,85.0,15.0,0.0,42.0,0.0,0.0,0.0
2020-05-19,49.0,56.0,29.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
2020-05-20,37.0,43.0,25.0,0.0,13.0,0.0,39.0,0.0,26.0,25.0
2020-05-21,52.0,65.0,15.0,0.0,14.0,0.0,0.0,81.0,27.0,25.0
