,solar energy,climate change,global warming,pollution,Greta,recycling	,waste,sustainability,us epa,covid pollution
2020-04-08,60.0,19.0,0.0,61.0,5.0,21.0,45.0,53.0,0.0,46.0
2020-04-09,0.0,27.0,36.0,36.0,7.0,21.0,22.0,38.0,0.0,44.0
2020-04-10,0.0,20.0,0.0,25.0,8.0,15.0,63.0,42.0,0.0,0.0
2020-04-11,0.0,0.0,0.0,58.0,5.0,16.0,23.0,30.0,92.0,0.0
2020-04-12,47.0,0.0,44.0,66.0,3.0,28.0,42.0,31.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,29.0,3.0,22.0,55.0,27.0,0.0,0.0
2020-04-14,40.0,74.0,0.0,28.0,6.0,49.0,44.0,52.0,0.0,45.0
2020-04-15,60.0,37.0,37.0,37.0,4.0,24.0,31.0,26.0,82.0,0.0
2020-04-16,40.0,38.0,0.0,38.0,7.0,24.0,41.0,53.0,0.0,46.0
2020-04-17,0.0,57.0,0.0,10.0,4.0,24.0,64.0,0.0,0.0,0.0
2020-04-18,0.0,0.0,0.0,22.0,3.0,17.0,31.0,31.0,0.0,0.0
2020-04-19,0.0,20.0,0.0,10.0,6.0,39.0,63.0,0.0,0.0,50.0
2020-04-20,0.0,19.0,0.0,19.0,8.0,28.0,49.0,66.0,0.0,0.0
2020-04-21,39.0,0.0,0.0,14.0,5.0,48.0,52.0,0.0,80.0,0.0
2020-04-22,40.0,25.0,0.0,37.0,5.0,19.0,44.0,26.0,0.0,45.0
2020-04-23,40.0,28.0,37.0,38.0,9.0,50.0,36.0,27.0,0.0,92.0
2020-04-24,0.0,30.0,0.0,40.0,6.0,15.0,52.0,28.0,0.0,48.0
2020-04-25,0.0,0.0,0.0,45.0,6.0,52.0,44.0,32.0,0.0,0.0
2020-04-26,0.0,21.0,0.0,11.0,5.0,24.0,56.0,30.0,0.0,0.0
2020-04-27,0.0,37.0,37.0,19.0,10.0,24.0,58.0,26.0,0.0,45.0
2020-04-28,41.0,20.0,0.0,29.0,5.0,30.0,42.0,27.0,0.0,0.0
2020-04-29,42.0,39.0,39.0,25.0,11.0,22.0,19.0,27.0,0.0,0.0
2020-04-30,38.0,30.0,0.0,27.0,5.0,20.0,55.0,50.0,0.0,0.0
2020-05-01,41.0,19.0,0.0,19.0,6.0,22.0,37.0,27.0,0.0,47.0
2020-05-02,49.0,23.0,46.0,35.0,5.0,52.0,66.0,0.0,0.0,0.0
2020-05-03,47.0,22.0,0.0,11.0,4.0,17.0,37.0,31.0,0.0,0.0
2020-05-04,40.0,28.0,0.0,0.0,4.0,21.0,35.0,43.0,0.0,0.0
2020-05-05,37.0,35.0,0.0,26.0,5.0,31.0,46.0,25.0,0.0,0.0
2020-05-06,0.0,29.0,77.0,19.0,3.0,29.0,37.0,41.0,0.0,0.0
