,Habs,Montreal Impact,MLS,NBA,Stanley Cup,NHL	,CFL,Champions League,BPL,UFC
2020-04-21,4.0,3.0,17.0,11.0,21.0,6.0,10.0,3.0,0.0,1.0
2020-04-22,19.0,2.0,15.0,11.0,42.0,6.0,6.0,2.0,0.0,2.0
2020-04-23,6.0,2.0,12.0,9.0,50.0,8.0,8.0,3.0,0.0,2.0
2020-04-24,6.0,4.0,17.0,13.0,75.0,8.0,6.0,2.0,0.0,1.0
2020-04-25,8.0,2.0,29.0,10.0,35.0,6.0,10.0,2.0,0.0,2.0
2020-04-26,5.0,2.0,23.0,8.0,49.0,6.0,7.0,2.0,0.0,2.0
2020-04-27,5.0,2.0,16.0,9.0,42.0,5.0,6.0,2.0,0.0,1.0
2020-04-28,7.0,3.0,21.0,12.0,73.0,7.0,8.0,2.0,0.0,1.0
2020-04-29,7.0,2.0,23.0,12.0,53.0,6.0,19.0,2.0,0.0,1.0
2020-04-30,6.0,2.0,20.0,11.0,34.0,7.0,32.0,2.0,0.0,2.0
2020-05-01,6.0,2.0,22.0,10.0,73.0,7.0,100.0,3.0,0.0,2.0
2020-05-02,4.0,6.0,17.0,13.0,35.0,9.0,18.0,2.0,0.0,3.0
2020-05-03,8.0,6.0,24.0,10.0,100.0,11.0,10.0,4.0,0.0,2.0
2020-05-04,9.0,3.0,10.0,9.0,41.0,7.0,6.0,2.0,0.0,2.0
2020-05-05,12.0,2.0,17.0,12.0,33.0,7.0,17.0,2.0,0.0,3.0
2020-05-06,8.0,5.0,15.0,9.0,37.0,7.0,12.0,2.0,0.0,3.0
2020-05-07,8.0,2.0,12.0,9.0,44.0,8.0,6.0,2.0,40.0,3.0
2020-05-08,6.0,3.0,14.0,8.0,29.0,8.0,10.0,3.0,39.0,4.0
2020-05-09,5.0,2.0,22.0,10.0,16.0,8.0,7.0,2.0,0.0,15.0
2020-05-10,12.0,2.0,21.0,11.0,47.0,6.0,0.0,3.0,0.0,45.0
2020-05-11,8.0,2.0,22.0,14.0,43.0,6.0,12.0,2.0,0.0,5.0
2020-05-12,3.0,2.0,22.0,11.0,28.0,6.0,6.0,2.0,39.0,3.0
2020-05-13,8.0,2.0,21.0,9.0,14.0,6.0,9.0,2.0,0.0,5.0
2020-05-14,3.0,3.0,18.0,11.0,37.0,7.0,18.0,2.0,0.0,7.0
2020-05-15,8.0,2.0,28.0,10.0,36.0,7.0,6.0,3.0,0.0,4.0
2020-05-16,4.0,3.0,27.0,10.0,35.0,6.0,7.0,2.0,0.0,7.0
2020-05-17,11.0,2.0,33.0,11.0,44.0,7.0,0.0,4.0,0.0,11.0
2020-05-18,4.0,2.0,25.0,14.0,32.0,7.0,17.0,2.0,0.0,2.0
2020-05-19,4.0,3.0,22.0,14.0,14.0,6.0,0.0,2.0,0.0,2.0
2020-05-20,11.0,2.0,29.0,15.0,29.0,6.0,6.0,3.0,0.0,3.0
2020-05-21,8.0,2.0,21.0,11.0,15.0,8.0,6.0,2.0,0.0,2.0
