,sushi,indian food,mexican food,asian food,vegetarian recipes,vegan,easy recipes,chicken recipes,healthy recipes,fine dining
2020-04-24,43.0,23.0,0.0,0.0,27.0,52.0,37.0,30.0,41.0,0.0
2020-04-25,50.0,27.0,0.0,0.0,61.0,67.0,85.0,35.0,24.0,0.0
2020-04-26,42.0,50.0,0.0,0.0,29.0,56.0,89.0,71.0,0.0,0.0
2020-04-27,21.0,22.0,24.0,27.0,25.0,49.0,100.0,52.0,57.0,0.0
2020-04-28,23.0,0.0,0.0,29.0,52.0,63.0,24.0,30.0,0.0,0.0
2020-04-29,22.0,0.0,52.0,0.0,0.0,48.0,33.0,71.0,20.0,0.0
2020-04-30,32.0,21.0,0.0,26.0,0.0,54.0,33.0,45.0,28.0,0.0
2020-05-01,49.0,23.0,25.0,0.0,39.0,55.0,96.0,25.0,39.0,42.0
2020-05-02,46.0,40.0,30.0,0.0,31.0,57.0,76.0,29.0,47.0,0.0
2020-05-03,42.0,26.0,29.0,0.0,30.0,63.0,27.0,28.0,23.0,48.0
2020-05-04,25.0,21.0,48.0,0.0,0.0,61.0,30.0,23.0,38.0,0.0
2020-05-05,25.0,21.0,23.0,52.0,24.0,65.0,44.0,72.0,36.0,0.0
2020-05-06,32.0,23.0,0.0,29.0,26.0,44.0,24.0,35.0,20.0,0.0
2020-05-07,35.0,0.0,0.0,28.0,26.0,50.0,72.0,39.0,40.0,0.0
2020-05-08,57.0,22.0,0.0,0.0,78.0,60.0,72.0,39.0,0.0,0.0
2020-05-09,69.0,60.0,0.0,0.0,28.0,43.0,38.0,63.0,22.0,0.0
2020-05-10,97.0,57.0,0.0,30.0,28.0,88.0,61.0,32.0,22.0,0.0
2020-05-11,24.0,44.0,0.0,28.0,51.0,57.0,35.0,24.0,19.0,0.0
2020-05-12,23.0,22.0,0.0,0.0,38.0,36.0,23.0,43.0,29.0,0.0
2020-05-13,30.0,23.0,25.0,0.0,39.0,52.0,24.0,34.0,20.0,0.0
2020-05-14,30.0,23.0,52.0,29.0,26.0,39.0,24.0,44.0,30.0,42.0
2020-05-15,49.0,22.0,0.0,0.0,26.0,60.0,35.0,48.0,20.0,41.0
2020-05-16,40.0,27.0,0.0,34.0,0.0,70.0,38.0,29.0,71.0,0.0
2020-05-17,34.0,28.0,31.0,34.0,31.0,73.0,87.0,42.0,24.0,0.0
2020-05-18,27.0,0.0,0.0,31.0,29.0,68.0,0.0,27.0,33.0,47.0
2020-05-19,22.0,22.0,25.0,28.0,26.0,57.0,36.0,19.0,39.0,0.0
2020-05-20,26.0,46.0,0.0,29.0,0.0,36.0,36.0,45.0,20.0,0.0
2020-05-21,29.0,0.0,26.0,0.0,27.0,44.0,25.0,53.0,0.0,0.0
