,Photoshop,Adobe,winrar,Java,VLC,avast,FileHippo,SÈVE,Shopify,Zoom
2020-04-04,59.0,59.0,99.0,49.0,47.0,34.0,0.0,0.0,16.0,63.0
2020-04-05,58.0,59.0,30.0,52.0,55.0,19.0,0.0,74.0,14.0,65.0
2020-04-06,74.0,74.0,27.0,61.0,60.0,42.0,0.0,33.0,17.0,79.0
2020-04-07,42.0,78.0,55.0,82.0,45.0,26.0,0.0,34.0,38.0,77.0
2020-04-08,61.0,81.0,54.0,83.0,33.0,51.0,0.0,33.0,26.0,81.0
2020-04-09,51.0,73.0,53.0,63.0,64.0,33.0,0.0,0.0,32.0,80.0
2020-04-10,79.0,73.0,57.0,47.0,52.0,18.0,78.0,0.0,15.0,60.0
2020-04-11,55.0,48.0,81.0,56.0,74.0,0.0,0.0,37.0,17.0,62.0
2020-04-12,71.0,35.0,32.0,64.0,39.0,27.0,0.0,0.0,23.0,73.0
2020-04-13,100.0,67.0,55.0,54.0,60.0,35.0,0.0,51.0,26.0,49.0
2020-04-14,52.0,61.0,54.0,66.0,27.0,17.0,0.0,0.0,46.0,67.0
2020-04-15,67.0,71.0,27.0,66.0,58.0,42.0,0.0,0.0,31.0,67.0
2020-04-16,34.0,69.0,27.0,68.0,61.0,17.0,76.0,67.0,22.0,67.0
2020-04-17,65.0,60.0,84.0,72.0,34.0,26.0,76.0,34.0,34.0,63.0
2020-04-18,75.0,55.0,43.0,58.0,39.0,100.0,0.0,0.0,29.0,47.0
2020-04-19,32.0,56.0,30.0,46.0,60.0,65.0,0.0,36.0,21.0,37.0
2020-04-20,45.0,71.0,55.0,66.0,44.0,34.0,0.0,0.0,28.0,61.0
2020-04-21,59.0,77.0,53.0,69.0,57.0,33.0,73.0,33.0,36.0,58.0
2020-04-22,60.0,90.0,27.0,69.0,39.0,68.0,0.0,33.0,28.0,67.0
2020-04-23,46.0,82.0,64.0,72.0,50.0,69.0,0.0,0.0,45.0,68.0
2020-04-24,52.0,50.0,44.0,61.0,41.0,42.0,0.0,53.0,40.0,64.0
2020-04-25,55.0,49.0,100.0,48.0,30.0,42.0,0.0,41.0,13.0,44.0
2020-04-26,69.0,44.0,47.0,60.0,44.0,49.0,0.0,38.0,14.0,40.0
2020-04-27,41.0,77.0,68.0,61.0,44.0,28.0,0.0,100.0,39.0,58.0
2020-04-28,43.0,60.0,38.0,78.0,23.0,27.0,0.0,35.0,40.0,63.0
2020-04-29,48.0,56.0,48.0,63.0,41.0,18.0,0.0,71.0,54.0,56.0
2020-04-30,54.0,72.0,52.0,79.0,53.0,0.0,0.0,32.0,38.0,63.0
2020-05-01,47.0,47.0,57.0,58.0,63.0,35.0,0.0,0.0,32.0,52.0
2020-05-02,37.0,40.0,51.0,35.0,48.0,21.0,92.0,0.0,19.0,35.0
2020-05-03,53.0,42.0,48.0,42.0,39.0,27.0,0.0,0.0,19.0,38.0
