,Bank of Montreal,Desjardins,Laurentian Bank,TD,CIBC,RBC,HSBC,Banque Nationale,BMO,Bitcoin
2020-04-21,36.0,80.0,23.0,72.0,58.0,65.0,35.0,55.0,61.0,29.0
2020-04-22,67.0,77.0,63.0,60.0,69.0,72.0,53.0,62.0,54.0,38.0
2020-04-23,31.0,87.0,80.0,67.0,71.0,73.0,36.0,67.0,70.0,37.0
2020-04-24,52.0,65.0,56.0,67.0,66.0,67.0,25.0,60.0,63.0,29.0
2020-04-25,22.0,47.0,48.0,37.0,48.0,54.0,29.0,39.0,33.0,27.0
2020-04-26,0.0,44.0,45.0,34.0,24.0,38.0,27.0,41.0,32.0,32.0
2020-04-27,73.0,70.0,21.0,63.0,64.0,70.0,35.0,71.0,54.0,20.0
2020-04-28,51.0,78.0,55.0,61.0,70.0,81.0,55.0,72.0,61.0,29.0
2020-04-29,39.0,73.0,61.0,67.0,61.0,74.0,31.0,51.0,57.0,45.0
2020-04-30,52.0,81.0,25.0,68.0,72.0,75.0,23.0,70.0,66.0,55.0
2020-05-01,57.0,82.0,70.0,82.0,93.0,74.0,49.0,66.0,76.0,38.0
2020-05-02,37.0,45.0,58.0,43.0,42.0,55.0,29.0,37.0,45.0,26.0
2020-05-03,21.0,42.0,37.0,26.0,31.0,42.0,42.0,38.0,27.0,34.0
2020-05-04,48.0,73.0,51.0,67.0,61.0,67.0,23.0,62.0,56.0,26.0
2020-05-05,34.0,76.0,49.0,62.0,67.0,64.0,39.0,70.0,58.0,25.0
2020-05-06,44.0,77.0,38.0,58.0,62.0,68.0,37.0,57.0,58.0,37.0
2020-05-07,63.0,75.0,60.0,64.0,63.0,75.0,55.0,73.0,60.0,42.0
2020-05-08,56.0,72.0,43.0,58.0,54.0,70.0,55.0,73.0,65.0,55.0
2020-05-09,20.0,47.0,29.0,32.0,38.0,51.0,39.0,35.0,34.0,46.0
2020-05-10,0.0,41.0,44.0,28.0,33.0,38.0,26.0,30.0,27.0,67.0
2020-05-11,37.0,67.0,21.0,59.0,66.0,74.0,36.0,56.0,52.0,66.0
2020-05-12,61.0,71.0,58.0,59.0,55.0,64.0,30.0,56.0,65.0,56.0
2020-05-13,50.0,66.0,65.0,55.0,64.0,69.0,48.0,55.0,65.0,46.0
2020-05-14,47.0,72.0,38.0,64.0,71.0,72.0,37.0,51.0,62.0,41.0
2020-05-15,49.0,75.0,43.0,67.0,65.0,70.0,24.0,65.0,56.0,48.0
2020-05-16,45.0,46.0,19.0,43.0,53.0,53.0,58.0,35.0,38.0,34.0
2020-05-17,46.0,37.0,29.0,32.0,28.0,44.0,29.0,31.0,34.0,42.0
2020-05-18,21.0,53.0,72.0,42.0,44.0,46.0,41.0,40.0,39.0,48.0
2020-05-19,25.0,75.0,64.0,66.0,76.0,70.0,30.0,73.0,56.0,41.0
2020-05-20,38.0,77.0,71.0,66.0,65.0,74.0,37.0,60.0,72.0,33.0
2020-05-21,33.0,84.0,39.0,72.0,65.0,79.0,25.0,76.0,57.0,28.0
