,learn french,Duolingo,TED,Khan Academy,goodreads,translate,lessons,classes,online classes,summer courses
2020-05-02,37.0,52.0,74.0,0.0,21.0,68.0,60.0,72.0,34.0,43.0
2020-05-03,36.0,18.0,44.0,0.0,20.0,64.0,25.0,37.0,32.0,0.0
2020-05-04,30.0,44.0,67.0,30.0,33.0,89.0,42.0,65.0,54.0,69.0
2020-05-05,28.0,68.0,39.0,22.0,16.0,95.0,35.0,45.0,39.0,0.0
2020-05-06,0.0,57.0,66.0,16.0,26.0,92.0,50.0,57.0,71.0,36.0
2020-05-07,0.0,49.0,39.0,47.0,26.0,92.0,50.0,33.0,28.0,36.0
2020-05-08,0.0,41.0,82.0,16.0,62.0,89.0,58.0,63.0,43.0,36.0
2020-05-09,0.0,36.0,63.0,17.0,19.0,61.0,30.0,47.0,30.0,39.0
2020-05-10,0.0,45.0,80.0,0.0,19.0,66.0,42.0,38.0,62.0,77.0
2020-05-11,31.0,45.0,65.0,15.0,17.0,94.0,16.0,59.0,28.0,35.0
2020-05-12,31.0,51.0,54.0,0.0,69.0,96.0,57.0,46.0,56.0,71.0
2020-05-13,62.0,41.0,43.0,16.0,35.0,100.0,33.0,57.0,0.0,71.0
2020-05-14,32.0,34.0,52.0,32.0,18.0,94.0,51.0,44.0,29.0,0.0
2020-05-15,31.0,41.0,46.0,23.0,35.0,90.0,33.0,48.0,56.0,0.0
2020-05-16,0.0,42.0,50.0,0.0,62.0,66.0,29.0,35.0,33.0,0.0
2020-05-17,0.0,25.0,38.0,77.0,21.0,70.0,41.0,40.0,35.0,0.0
2020-05-18,34.0,40.0,43.0,52.0,39.0,69.0,64.0,60.0,78.0,39.0
2020-05-19,31.0,33.0,35.0,16.0,26.0,95.0,27.0,68.0,71.0,36.0
2020-05-20,0.0,47.0,55.0,24.0,27.0,100.0,25.0,66.0,29.0,0.0
