,toilet paper,tissues,towels,soap,shampoo,razor,hair clipper,toothpaste,deodorant,conditioner
2020-04-03,3.0,97.0,27.0,68.0,85.0,80.0,0.0,18.0,43.0,29.0
2020-04-04,2.0,0.0,47.0,64.0,57.0,70.0,25.0,21.0,66.0,37.0
2020-04-05,7.0,0.0,57.0,75.0,76.0,64.0,62.0,19.0,80.0,27.0
2020-04-06,3.0,46.0,63.0,74.0,46.0,62.0,41.0,25.0,34.0,36.0
2020-04-07,2.0,0.0,35.0,43.0,40.0,59.0,54.0,34.0,42.0,31.0
2020-04-08,3.0,0.0,39.0,70.0,61.0,63.0,64.0,23.0,48.0,31.0
2020-04-09,2.0,0.0,50.0,61.0,31.0,28.0,41.0,25.0,40.0,27.0
2020-04-10,4.0,0.0,27.0,81.0,60.0,56.0,29.0,44.0,43.0,22.0
2020-04-11,3.0,0.0,29.0,51.0,85.0,49.0,39.0,57.0,35.0,26.0
2020-04-12,9.0,0.0,46.0,95.0,76.0,74.0,58.0,20.0,73.0,25.0
2020-04-13,3.0,0.0,26.0,67.0,62.0,59.0,21.0,17.0,35.0,25.0
2020-04-14,3.0,0.0,51.0,85.0,28.0,43.0,35.0,17.0,54.0,18.0
2020-04-15,3.0,47.0,43.0,80.0,100.0,58.0,42.0,51.0,72.0,32.0
2020-04-16,4.0,0.0,52.0,63.0,76.0,68.0,21.0,40.0,34.0,19.0
2020-04-17,4.0,48.0,65.0,41.0,69.0,64.0,21.0,17.0,35.0,40.0
2020-04-18,4.0,0.0,40.0,74.0,84.0,74.0,37.0,27.0,40.0,40.0
2020-04-19,6.0,0.0,70.0,74.0,82.0,100.0,57.0,55.0,30.0,30.0
2020-04-20,2.0,47.0,51.0,38.0,71.0,43.0,42.0,25.0,34.0,21.0
2020-04-21,6.0,0.0,42.0,51.0,87.0,80.0,20.0,17.0,30.0,36.0
2020-04-22,2.0,47.0,51.0,62.0,68.0,67.0,42.0,17.0,82.0,12.0
2020-04-23,0.0,0.0,65.0,73.0,40.0,73.0,21.0,34.0,55.0,15.0
2020-04-24,3.0,49.0,27.0,83.0,61.0,41.0,30.0,54.0,44.0,52.0
2020-04-25,2.0,57.0,32.0,70.0,79.0,47.0,34.0,0.0,42.0,37.0
2020-04-26,8.0,0.0,29.0,46.0,74.0,89.0,32.0,39.0,47.0,32.0
2020-04-27,3.0,0.0,26.0,68.0,54.0,72.0,21.0,17.0,27.0,24.0
2020-04-28,4.0,0.0,67.0,60.0,75.0,56.0,43.0,24.0,50.0,29.0
2020-04-29,2.0,48.0,45.0,45.0,90.0,51.0,33.0,18.0,58.0,39.0
2020-04-30,3.0,0.0,37.0,60.0,92.0,37.0,20.0,24.0,68.0,35.0
2020-05-01,3.0,0.0,40.0,75.0,59.0,65.0,0.0,18.0,21.0,41.0
2020-05-02,3.0,0.0,64.0,96.0,88.0,78.0,39.0,31.0,25.0,41.0
2020-05-03,4.0,55.0,45.0,59.0,67.0,68.0,25.0,0.0,36.0,61.0
2020-05-04,3.0,0.0,51.0,62.0,71.0,48.0,52.0,34.0,51.0,32.0
2020-05-05,7.0,0.0,40.0,88.0,78.0,27.0,30.0,40.0,65.0,49.0
2020-05-06,4.0,0.0,40.0,52.0,71.0,45.0,22.0,35.0,71.0,35.0
2020-05-07,0.0,0.0,27.0,60.0,67.0,50.0,22.0,26.0,50.0,38.0
2020-05-08,2.0,0.0,44.0,64.0,74.0,37.0,65.0,17.0,53.0,50.0
2020-05-09,0.0,0.0,28.0,78.0,87.0,81.0,23.0,19.0,34.0,44.0
2020-05-10,2.0,0.0,48.0,64.0,92.0,70.0,0.0,19.0,57.0,44.0
2020-05-11,2.0,0.0,26.0,63.0,54.0,48.0,35.0,23.0,31.0,46.0
2020-05-12,0.0,95.0,52.0,71.0,54.0,34.0,0.0,52.0,31.0,25.0
2020-05-13,4.0,0.0,79.0,43.0,77.0,49.0,0.0,26.0,28.0,25.0
2020-05-14,2.0,0.0,40.0,65.0,75.0,65.0,22.0,53.0,21.0,48.0
2020-05-15,4.0,0.0,26.0,56.0,69.0,64.0,0.0,43.0,35.0,34.0
2020-05-16,4.0,57.0,31.0,67.0,39.0,47.0,51.0,31.0,58.0,37.0
2020-05-17,0.0,0.0,65.0,60.0,54.0,67.0,27.0,21.0,39.0,100.0
2020-05-18,2.0,0.0,44.0,72.0,74.0,72.0,24.0,19.0,55.0,77.0
2020-05-19,3.0,0.0,53.0,75.0,55.0,65.0,0.0,17.0,49.0,78.0
2020-05-20,2.0,0.0,54.0,55.0,90.0,45.0,22.0,0.0,43.0,57.0
