,Chlamydia,VIH,Herpès,Blennorragie,HPV,Hépatite B,Syphilis,STI,STD,Hépatite A
2020-04-03,15.0,17.0,40.0,0.0,36.0,37.0,22.0,45.0,42.0,29.0
2020-04-04,36.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0,0.0
2020-04-05,16.0,0.0,0.0,84.0,20.0,0.0,24.0,36.0,27.0,0.0
2020-04-06,14.0,16.0,38.0,0.0,26.0,0.0,34.0,16.0,48.0,0.0
2020-04-07,30.0,0.0,0.0,0.0,0.0,37.0,21.0,33.0,41.0,28.0
2020-04-08,15.0,33.0,38.0,0.0,18.0,0.0,0.0,38.0,49.0,0.0
2020-04-09,38.0,31.0,0.0,0.0,26.0,35.0,41.0,63.0,0.0,0.0
2020-04-10,31.0,34.0,0.0,0.0,37.0,0.0,45.0,17.0,42.0,0.0
2020-04-11,16.0,37.0,43.0,0.0,20.0,40.0,24.0,64.0,82.0,0.0
2020-04-12,17.0,19.0,46.0,0.0,0.0,0.0,25.0,38.0,29.0,0.0
2020-04-13,23.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,41.0,28.0
2020-04-14,37.0,24.0,0.0,0.0,36.0,35.0,0.0,38.0,0.0,0.0
2020-04-15,29.0,16.0,39.0,0.0,18.0,0.0,0.0,43.0,36.0,0.0
2020-04-16,15.0,17.0,39.0,0.0,18.0,0.0,64.0,33.0,37.0,0.0
2020-04-17,40.0,50.0,0.0,0.0,27.0,0.0,22.0,49.0,37.0,0.0
2020-04-18,52.0,29.0,0.0,0.0,21.0,0.0,25.0,51.0,43.0,0.0
2020-04-19,24.0,71.0,42.0,0.0,19.0,0.0,23.0,18.0,39.0,0.0
2020-04-20,15.0,74.0,39.0,0.0,27.0,36.0,0.0,38.0,85.0,0.0
2020-04-21,29.0,64.0,0.0,0.0,17.0,0.0,41.0,32.0,24.0,0.0
2020-04-22,24.0,41.0,0.0,0.0,18.0,36.0,32.0,32.0,32.0,0.0
2020-04-23,15.0,83.0,39.0,0.0,0.0,0.0,42.0,33.0,37.0,0.0
2020-04-24,0.0,26.0,0.0,0.0,19.0,0.0,30.0,43.0,64.0,0.0
2020-04-25,36.0,100.0,0.0,0.0,22.0,0.0,39.0,20.0,44.0,0.0
2020-04-26,34.0,19.0,44.0,0.0,20.0,41.0,24.0,87.0,65.0,0.0
2020-04-27,29.0,41.0,0.0,0.0,18.0,0.0,21.0,40.0,32.0,28.0
2020-04-28,26.0,59.0,0.0,0.0,19.0,0.0,37.0,59.0,25.0,29.0
2020-04-29,68.0,43.0,41.0,0.0,19.0,76.0,0.0,17.0,52.0,0.0
2020-04-30,28.0,31.0,0.0,0.0,17.0,34.0,27.0,46.0,23.0,0.0
2020-05-01,15.0,17.0,0.0,0.0,28.0,0.0,22.0,28.0,25.0,0.0
2020-05-02,18.0,40.0,48.0,0.0,22.0,0.0,26.0,100.0,45.0,0.0
2020-05-03,52.0,0.0,45.0,0.0,0.0,42.0,24.0,32.0,28.0,0.0
2020-05-04,24.0,40.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,0.0
2020-05-05,21.0,54.0,37.0,72.0,0.0,0.0,20.0,31.0,38.0,0.0
2020-05-06,26.0,26.0,0.0,0.0,28.0,0.0,33.0,28.0,34.0,0.0
2020-05-07,15.0,25.0,0.0,0.0,0.0,37.0,29.0,34.0,59.0,0.0
2020-05-08,15.0,0.0,40.0,0.0,27.0,0.0,43.0,56.0,75.0,0.0
2020-05-09,38.0,36.0,0.0,0.0,19.0,40.0,23.0,27.0,27.0,0.0
2020-05-10,25.0,27.0,0.0,0.0,100.0,40.0,24.0,85.0,27.0,0.0
2020-05-11,22.0,33.0,0.0,0.0,18.0,0.0,21.0,60.0,49.0,0.0
2020-05-12,15.0,33.0,39.0,0.0,18.0,0.0,0.0,41.0,24.0,0.0
2020-05-13,23.0,17.0,0.0,0.0,18.0,37.0,44.0,33.0,50.0,0.0
2020-05-14,26.0,17.0,40.0,0.0,28.0,0.0,22.0,59.0,25.0,0.0
2020-05-15,23.0,17.0,40.0,0.0,18.0,0.0,32.0,44.0,41.0,0.0
2020-05-16,18.0,20.0,48.0,0.0,22.0,0.0,26.0,46.0,59.0,0.0
2020-05-17,18.0,31.0,49.0,0.0,23.0,45.0,26.0,71.0,60.0,0.0
2020-05-18,34.0,19.0,0.0,0.0,41.0,0.0,60.0,81.0,37.0,32.0
2020-05-19,30.0,33.0,40.0,78.0,27.0,0.0,29.0,44.0,25.0,0.0
2020-05-20,15.0,0.0,0.0,0.0,0.0,37.0,0.0,34.0,25.0,0.0
2020-05-21,26.0,0.0,0.0,0.0,19.0,0.0,23.0,35.0,52.0,0.0
