,Expedia,hotels.com,airbnb,Flighthub,Hôtel,trivago,Marriott,hôtel,réservation,couchsurfing
2020-04-05,6.0,0.0,12.0,0.0,30.0,5.0,23.0,21.0,0.0,0.0
2020-04-06,8.0,0.0,17.0,21.0,9.0,17.0,11.0,16.0,0.0,0.0
2020-04-07,16.0,0.0,16.0,18.0,19.0,4.0,18.0,35.0,18.0,0.0
2020-04-08,6.0,21.0,12.0,20.0,19.0,4.0,17.0,19.0,18.0,0.0
2020-04-09,7.0,20.0,14.0,13.0,36.0,6.0,16.0,37.0,0.0,0.0
2020-04-10,9.0,0.0,15.0,27.0,24.0,9.0,11.0,37.0,19.0,0.0
2020-04-11,8.0,0.0,12.0,15.0,10.0,10.0,18.0,16.0,0.0,0.0
2020-04-12,8.0,0.0,15.0,0.0,16.0,5.0,14.0,15.0,0.0,65.0
2020-04-13,9.0,0.0,19.0,0.0,33.0,9.0,11.0,36.0,18.0,0.0
2020-04-14,17.0,21.0,16.0,13.0,28.0,4.0,18.0,28.0,0.0,0.0
2020-04-15,7.0,0.0,21.0,13.0,0.0,4.0,16.0,19.0,27.0,0.0
2020-04-16,14.0,21.0,8.0,13.0,28.0,0.0,28.0,32.0,36.0,0.0
2020-04-17,10.0,0.0,13.0,27.0,9.0,0.0,14.0,19.0,0.0,0.0
2020-04-18,17.0,0.0,11.0,15.0,32.0,5.0,19.0,26.0,0.0,0.0
2020-04-19,11.0,0.0,14.0,14.0,10.0,10.0,10.0,21.0,58.0,0.0
2020-04-20,9.0,21.0,21.0,22.0,37.0,4.0,21.0,32.0,0.0,0.0
2020-04-21,7.0,0.0,15.0,21.0,23.0,6.0,14.0,25.0,17.0,0.0
2020-04-22,10.0,0.0,14.0,22.0,46.0,4.0,23.0,47.0,18.0,0.0
2020-04-23,10.0,0.0,14.0,13.0,9.0,4.0,11.0,16.0,18.0,0.0
2020-04-24,8.0,22.0,17.0,14.0,15.0,8.0,33.0,13.0,0.0,58.0
2020-04-25,14.0,0.0,13.0,0.0,0.0,5.0,17.0,23.0,22.0,0.0
2020-04-26,10.0,24.0,17.0,15.0,11.0,5.0,24.0,11.0,0.0,0.0
2020-04-27,11.0,21.0,23.0,33.0,18.0,4.0,14.0,16.0,0.0,0.0
2020-04-28,3.0,0.0,12.0,14.0,10.0,5.0,7.0,10.0,56.0,0.0
2020-04-29,15.0,0.0,12.0,14.0,39.0,5.0,15.0,30.0,25.0,0.0
2020-04-30,9.0,0.0,16.0,13.0,35.0,4.0,22.0,30.0,34.0,0.0
2020-05-01,9.0,22.0,18.0,0.0,24.0,7.0,25.0,25.0,19.0,0.0
2020-05-02,3.0,0.0,17.0,64.0,11.0,8.0,17.0,20.0,0.0,0.0
2020-05-03,17.0,25.0,16.0,16.0,22.0,5.0,12.0,22.0,21.0,0.0
2020-05-04,8.0,21.0,23.0,13.0,32.0,4.0,18.0,25.0,23.0,0.0
2020-05-05,13.0,0.0,23.0,29.0,13.0,4.0,7.0,15.0,0.0,52.0
2020-05-06,12.0,0.0,20.0,14.0,19.0,7.0,24.0,26.0,28.0,0.0
2020-05-07,10.0,22.0,28.0,18.0,24.0,5.0,14.0,26.0,56.0,57.0
2020-05-08,12.0,22.0,18.0,27.0,19.0,7.0,12.0,24.0,37.0,0.0
2020-05-09,11.0,0.0,20.0,14.0,15.0,5.0,23.0,21.0,0.0,0.0
2020-05-10,10.0,0.0,17.0,44.0,15.0,8.0,16.0,14.0,20.0,0.0
2020-05-11,9.0,0.0,30.0,13.0,23.0,4.0,19.0,29.0,27.0,0.0
2020-05-12,10.0,0.0,15.0,13.0,46.0,4.0,7.0,48.0,0.0,0.0
2020-05-13,9.0,0.0,22.0,13.0,24.0,0.0,11.0,26.0,28.0,0.0
2020-05-14,6.0,0.0,23.0,18.0,19.0,9.0,10.0,35.0,37.0,0.0
2020-05-15,9.0,0.0,21.0,0.0,28.0,5.0,26.0,19.0,18.0,0.0
2020-05-16,9.0,0.0,22.0,0.0,34.0,8.0,17.0,23.0,22.0,0.0
2020-05-17,11.0,27.0,30.0,0.0,23.0,11.0,26.0,20.0,22.0,0.0
2020-05-18,11.0,24.0,30.0,35.0,0.0,5.0,18.0,11.0,20.0,0.0
2020-05-19,9.0,22.0,29.0,20.0,9.0,5.0,14.0,10.0,27.0,56.0
2020-05-20,12.0,0.0,26.0,14.0,39.0,8.0,22.0,25.0,19.0,0.0
2020-05-21,12.0,23.0,32.0,23.0,30.0,12.0,17.0,31.0,19.0,0.0
