,mediterranean diet,diet,atkins diet,dash diet,keto diet,weight loss,low carb diet,raw vegan,carnivore diet,plant based diet
2020-04-02,0.0,24.0,0.0,0.0,58.0,28.0,0.0,0.0,0.0,25.0
2020-04-03,0.0,39.0,0.0,0.0,22.0,35.0,0.0,0.0,0.0,26.0
2020-04-04,0.0,47.0,0.0,0.0,34.0,33.0,49.0,0.0,0.0,0.0
2020-04-05,0.0,33.0,0.0,0.0,16.0,37.0,0.0,55.0,0.0,0.0
2020-04-06,0.0,35.0,0.0,0.0,14.0,27.0,0.0,0.0,72.0,0.0
2020-04-07,0.0,47.0,0.0,0.0,29.0,25.0,0.0,0.0,37.0,0.0
2020-04-08,0.0,36.0,71.0,0.0,19.0,21.0,0.0,0.0,37.0,0.0
2020-04-09,0.0,32.0,0.0,0.0,21.0,32.0,0.0,0.0,0.0,0.0
2020-04-10,0.0,52.0,0.0,0.0,25.0,29.0,0.0,0.0,0.0,26.0
2020-04-11,0.0,45.0,0.0,0.0,48.0,41.0,46.0,0.0,0.0,27.0
2020-04-12,0.0,28.0,0.0,0.0,50.0,22.0,0.0,58.0,0.0,0.0
2020-04-13,0.0,49.0,0.0,0.0,29.0,25.0,0.0,0.0,0.0,0.0
2020-04-14,0.0,35.0,0.0,0.0,14.0,42.0,40.0,0.0,36.0,0.0
2020-04-15,0.0,46.0,0.0,0.0,38.0,9.0,41.0,0.0,0.0,0.0
2020-04-16,0.0,30.0,0.0,0.0,28.0,27.0,41.0,0.0,37.0,25.0
2020-04-17,0.0,39.0,0.0,0.0,36.0,28.0,62.0,0.0,0.0,0.0
2020-04-18,0.0,28.0,84.0,0.0,17.0,32.0,48.0,0.0,0.0,0.0
2020-04-19,0.0,39.0,0.0,0.0,36.0,26.0,0.0,0.0,0.0,0.0
2020-04-20,0.0,43.0,0.0,0.0,35.0,33.0,0.0,0.0,0.0,25.0
2020-04-21,0.0,64.0,0.0,37.0,34.0,29.0,0.0,0.0,0.0,0.0
2020-04-22,30.0,41.0,0.0,0.0,38.0,30.0,40.0,0.0,0.0,0.0
2020-04-23,30.0,41.0,0.0,0.0,43.0,21.0,41.0,0.0,0.0,25.0
2020-04-24,0.0,41.0,0.0,40.0,38.0,38.0,44.0,0.0,0.0,0.0
2020-04-25,0.0,47.0,0.0,0.0,40.0,30.0,49.0,0.0,0.0,30.0
2020-04-26,51.0,70.0,0.0,0.0,32.0,69.0,47.0,0.0,0.0,28.0
2020-04-27,0.0,59.0,0.0,0.0,56.0,30.0,0.0,0.0,73.0,0.0
2020-04-28,31.0,28.0,0.0,0.0,30.0,51.0,0.0,0.0,0.0,0.0
2020-04-29,31.0,50.0,0.0,0.0,25.0,26.0,42.0,0.0,0.0,0.0
2020-04-30,0.0,47.0,0.0,0.0,20.0,14.0,39.0,47.0,35.0,0.0
2020-05-01,0.0,46.0,73.0,0.0,15.0,28.0,42.0,0.0,0.0,0.0
2020-05-02,37.0,55.0,0.0,0.0,41.0,26.0,50.0,0.0,45.0,0.0
2020-05-03,0.0,63.0,0.0,0.0,55.0,43.0,48.0,0.0,43.0,29.0
2020-05-04,0.0,51.0,70.0,0.0,28.0,57.0,0.0,0.0,0.0,24.0
2020-05-05,0.0,55.0,0.0,0.0,18.0,23.0,39.0,0.0,0.0,0.0
2020-05-06,0.0,82.0,0.0,0.0,58.0,81.0,42.0,0.0,38.0,0.0
2020-05-07,31.0,69.0,0.0,0.0,29.0,88.0,42.0,0.0,76.0,52.0
2020-05-08,0.0,46.0,0.0,0.0,29.0,100.0,0.0,51.0,38.0,0.0
2020-05-09,33.0,67.0,0.0,0.0,36.0,40.0,0.0,54.0,0.0,0.0
2020-05-10,34.0,42.0,0.0,0.0,16.0,75.0,0.0,55.0,0.0,28.0
2020-05-11,0.0,55.0,0.0,0.0,38.0,40.0,0.0,0.0,0.0,0.0
2020-05-12,0.0,35.0,0.0,0.0,36.0,37.0,0.0,0.0,37.0,25.0
2020-05-13,0.0,49.0,0.0,0.0,34.0,34.0,41.0,0.0,0.0,0.0
2020-05-14,31.0,59.0,0.0,0.0,15.0,51.0,43.0,0.0,0.0,0.0
2020-05-15,0.0,50.0,0.0,0.0,24.0,19.0,0.0,0.0,37.0,0.0
2020-05-16,36.0,61.0,0.0,46.0,40.0,33.0,0.0,60.0,0.0,30.0
2020-05-17,37.0,65.0,89.0,0.0,35.0,30.0,0.0,0.0,46.0,0.0
2020-05-18,0.0,32.0,0.0,0.0,32.0,28.0,46.0,0.0,41.0,0.0
2020-05-19,31.0,44.0,0.0,0.0,53.0,28.0,0.0,0.0,0.0,0.0
2020-05-20,0.0,40.0,0.0,0.0,34.0,35.0,0.0,0.0,0.0,26.0
