,Justin Trudeau,Celine Dion,Ryan Renolds,Doug Ford,Francois Legault ,Valerie Plante,Donald Trump,Joe Biden,Pierre Arcand,Horacio Arruda
2020-03-29,17.0,17.0,0.0,7.0,54.0,71.0,43.0,3.0,56.0,43.0
2020-03-30,17.0,20.0,0.0,14.0,44.0,39.0,36.0,7.0,49.0,72.0
2020-03-31,9.0,24.0,0.0,20.0,29.0,34.0,23.0,3.0,0.0,41.0
2020-04-01,16.0,11.0,0.0,14.0,37.0,22.0,28.0,6.0,0.0,42.0
2020-04-02,13.0,11.0,0.0,21.0,34.0,41.0,18.0,6.0,0.0,32.0
2020-04-03,13.0,10.0,0.0,100.0,27.0,28.0,34.0,6.0,99.0,21.0
2020-04-04,12.0,12.0,0.0,39.0,23.0,13.0,30.0,4.0,0.0,28.0
2020-04-05,16.0,10.0,0.0,9.0,42.0,20.0,31.0,6.0,0.0,19.0
2020-04-06,13.0,11.0,0.0,10.0,27.0,21.0,25.0,3.0,95.0,15.0
2020-04-07,10.0,11.0,0.0,9.0,37.0,19.0,29.0,4.0,0.0,29.0
2020-04-08,11.0,11.0,78.0,9.0,52.0,18.0,28.0,26.0,0.0,18.0
2020-04-09,18.0,12.0,0.0,6.0,38.0,21.0,33.0,24.0,0.0,21.0
2020-04-10,18.0,10.0,0.0,8.0,47.0,11.0,32.0,5.0,0.0,24.0
2020-04-11,16.0,10.0,0.0,6.0,49.0,25.0,28.0,6.0,0.0,13.0
2020-04-12,7.0,14.0,0.0,5.0,33.0,0.0,22.0,9.0,0.0,11.0
2020-04-13,28.0,11.0,0.0,7.0,28.0,19.0,38.0,12.0,50.0,9.0
2020-04-14,31.0,12.0,79.0,12.0,28.0,11.0,31.0,24.0,48.0,17.0
2020-04-15,17.0,12.0,0.0,19.0,21.0,11.0,29.0,17.0,73.0,4.0
2020-04-16,11.0,10.0,0.0,8.0,19.0,11.0,32.0,9.0,0.0,9.0
2020-04-17,12.0,12.0,81.0,8.0,24.0,0.0,31.0,7.0,100.0,13.0
2020-04-18,13.0,32.0,0.0,14.0,20.0,0.0,32.0,8.0,0.0,9.0
