,engagement ring,wedding dress,groom,wedding anniversary,bridal shower,bride,cash,wedding invitation,wedding venue,engagement
2020-04-07,26.0,19.0,19.0,37.0,0.0,58.0,68.0,0.0,0.0,46.0
2020-04-08,26.0,19.0,0.0,0.0,0.0,47.0,69.0,0.0,0.0,50.0
2020-04-09,38.0,36.0,18.0,0.0,0.0,45.0,75.0,41.0,0.0,36.0
2020-04-10,27.0,19.0,20.0,0.0,0.0,73.0,50.0,44.0,39.0,32.0
2020-04-11,0.0,42.0,21.0,41.0,42.0,52.0,71.0,0.0,41.0,42.0
2020-04-12,30.0,29.0,23.0,43.0,0.0,49.0,70.0,50.0,44.0,41.0
2020-04-13,26.0,0.0,39.0,0.0,0.0,42.0,65.0,0.0,0.0,23.0
2020-04-14,43.0,37.0,19.0,0.0,0.0,31.0,47.0,0.0,74.0,53.0
2020-04-15,26.0,46.0,19.0,37.0,37.0,26.0,65.0,0.0,0.0,35.0
2020-04-16,26.0,31.0,29.0,0.0,0.0,31.0,54.0,0.0,37.0,30.0
2020-04-17,53.0,19.0,19.0,37.0,0.0,69.0,70.0,0.0,0.0,56.0
2020-04-18,31.0,43.0,30.0,0.0,0.0,73.0,100.0,0.0,0.0,53.0
2020-04-19,0.0,40.0,41.0,40.0,0.0,51.0,69.0,0.0,0.0,38.0
2020-04-20,26.0,25.0,19.0,55.0,38.0,47.0,75.0,0.0,0.0,50.0
2020-04-21,0.0,54.0,25.0,0.0,0.0,35.0,56.0,0.0,0.0,49.0
2020-04-22,26.0,55.0,38.0,0.0,0.0,36.0,51.0,0.0,0.0,69.0
2020-04-23,26.0,0.0,0.0,74.0,0.0,31.0,62.0,0.0,37.0,35.0
2020-04-24,27.0,20.0,20.0,39.0,40.0,39.0,67.0,0.0,39.0,69.0
2020-04-25,0.0,23.0,35.0,45.0,46.0,32.0,65.0,0.0,0.0,37.0
2020-04-26,30.0,85.0,29.0,0.0,0.0,59.0,52.0,0.0,0.0,23.0
2020-04-27,26.0,56.0,19.0,37.0,38.0,62.0,65.0,0.0,0.0,70.0
2020-04-28,0.0,19.0,40.0,0.0,0.0,49.0,52.0,0.0,0.0,42.0
2020-04-29,27.0,19.0,100.0,0.0,0.0,73.0,58.0,44.0,0.0,32.0
2020-04-30,25.0,18.0,27.0,70.0,0.0,22.0,53.0,0.0,0.0,36.0
2020-05-01,27.0,39.0,20.0,0.0,39.0,37.0,71.0,0.0,0.0,16.0
2020-05-02,32.0,46.0,31.0,0.0,0.0,58.0,41.0,52.0,0.0,37.0
2020-05-03,45.0,33.0,22.0,43.0,0.0,91.0,44.0,50.0,0.0,41.0
2020-05-04,26.0,18.0,19.0,36.0,37.0,41.0,53.0,0.0,0.0,35.0
2020-05-05,24.0,35.0,36.0,34.0,0.0,44.0,47.0,0.0,35.0,85.0
2020-05-06,40.0,19.0,20.0,51.0,0.0,32.0,47.0,0.0,0.0,62.0
2020-05-07,27.0,58.0,29.0,38.0,0.0,38.0,61.0,0.0,0.0,36.0
2020-05-08,26.0,38.0,19.0,0.0,0.0,53.0,53.0,0.0,38.0,57.0
2020-05-09,29.0,48.0,63.0,0.0,0.0,34.0,86.0,0.0,0.0,44.0
2020-05-10,29.0,21.0,0.0,0.0,0.0,52.0,71.0,48.0,0.0,45.0
2020-05-11,26.0,19.0,19.0,0.0,0.0,47.0,59.0,0.0,0.0,50.0
2020-05-12,0.0,19.0,26.0,0.0,0.0,16.0,48.0,43.0,38.0,46.0
2020-05-13,26.0,28.0,19.0,37.0,0.0,53.0,50.0,43.0,0.0,31.0
2020-05-14,27.0,19.0,20.0,38.0,0.0,32.0,66.0,0.0,0.0,52.0
2020-05-15,26.0,19.0,19.0,56.0,0.0,16.0,60.0,0.0,38.0,46.0
2020-05-16,32.0,23.0,39.0,44.0,0.0,44.0,51.0,0.0,0.0,31.0
2020-05-17,32.0,47.0,36.0,0.0,0.0,49.0,45.0,0.0,0.0,50.0
2020-05-18,30.0,32.0,29.0,0.0,0.0,36.0,43.0,0.0,43.0,46.0
2020-05-19,26.0,19.0,39.0,0.0,0.0,37.0,57.0,0.0,38.0,67.0
2020-05-20,0.0,0.0,0.0,38.0,0.0,49.0,37.0,0.0,0.0,47.0
