,cruise,airplane tickets,road trip,beach vacations,retreats,resort,Bahamas,camping,world tour,bike trip
2020-04-26,38.0,0.0,52.0,0.0,31.0,20.0,26.0,53.0,8.0,85.0
2020-04-27,27.0,0.0,56.0,0.0,27.0,12.0,10.0,40.0,21.0,0.0
2020-04-28,16.0,0.0,0.0,0.0,0.0,14.0,12.0,68.0,11.0,0.0
2020-04-29,27.0,0.0,36.0,0.0,0.0,14.0,8.0,58.0,15.0,0.0
2020-04-30,19.0,0.0,43.0,0.0,0.0,7.0,12.0,33.0,7.0,0.0
2020-05-01,27.0,0.0,23.0,0.0,0.0,15.0,26.0,35.0,7.0,0.0
2020-05-02,36.0,0.0,28.0,0.0,0.0,17.0,32.0,39.0,9.0,0.0
2020-05-03,25.0,0.0,27.0,0.0,0.0,15.0,9.0,52.0,11.0,0.0
2020-05-04,25.0,0.0,45.0,0.0,0.0,11.0,12.0,46.0,7.0,0.0
2020-05-05,32.0,0.0,36.0,0.0,0.0,10.0,17.0,43.0,9.0,0.0
2020-05-06,37.0,0.0,24.0,0.0,0.0,13.0,12.0,44.0,12.0,0.0
2020-05-07,36.0,0.0,24.0,0.0,0.0,17.0,13.0,33.0,0.0,0.0
2020-05-08,33.0,0.0,23.0,43.0,0.0,12.0,20.0,45.0,7.0,0.0
2020-05-09,39.0,0.0,42.0,46.0,30.0,17.0,14.0,53.0,19.0,0.0
2020-05-10,41.0,0.0,38.0,0.0,0.0,18.0,28.0,43.0,8.0,83.0
2020-05-11,37.0,0.0,61.0,0.0,0.0,11.0,15.0,43.0,7.0,0.0
2020-05-12,38.0,0.0,57.0,0.0,0.0,12.0,12.0,43.0,11.0,0.0
2020-05-13,35.0,0.0,35.0,0.0,0.0,19.0,10.0,63.0,7.0,0.0
2020-05-14,32.0,0.0,47.0,0.0,0.0,10.0,13.0,63.0,11.0,0.0
2020-05-15,26.0,0.0,23.0,0.0,0.0,16.0,11.0,60.0,0.0,76.0
2020-05-16,37.0,0.0,37.0,0.0,33.0,17.0,27.0,72.0,9.0,0.0
2020-05-17,32.0,0.0,57.0,0.0,0.0,28.0,28.0,66.0,13.0,0.0
2020-05-18,31.0,0.0,43.0,48.0,0.0,15.0,21.0,100.0,13.0,0.0
2020-05-19,20.0,0.0,31.0,0.0,0.0,16.0,10.0,69.0,11.0,76.0
2020-05-20,19.0,0.0,24.0,0.0,0.0,15.0,8.0,88.0,0.0,0.0
2020-05-21,19.0,0.0,32.0,0.0,0.0,17.0,16.0,85.0,11.0,0.0
