,croisière,billets d'avion,Virée,plage,retraites,recours,Bahamas,camping,tour du monde,voyage
2020-04-12,0.0,0.0,0.0,40.0,0.0,31.0,32.0,26.0,25.0,11.0
2020-04-13,0.0,81.0,38.0,41.0,27.0,20.0,30.0,34.0,0.0,12.0
2020-04-14,16.0,0.0,37.0,43.0,27.0,29.0,22.0,30.0,28.0,14.0
2020-04-15,0.0,0.0,37.0,29.0,0.0,36.0,15.0,38.0,21.0,11.0
2020-04-16,17.0,0.0,0.0,43.0,0.0,50.0,11.0,30.0,21.0,11.0
2020-04-17,17.0,0.0,0.0,40.0,0.0,37.0,15.0,31.0,64.0,10.0
2020-04-18,0.0,0.0,0.0,47.0,0.0,23.0,20.0,32.0,0.0,12.0
2020-04-19,18.0,0.0,41.0,44.0,0.0,25.0,16.0,30.0,34.0,11.0
2020-04-20,0.0,0.0,37.0,28.0,0.0,26.0,11.0,32.0,0.0,9.0
2020-04-21,24.0,0.0,0.0,34.0,52.0,32.0,15.0,21.0,41.0,11.0
2020-04-22,16.0,0.0,37.0,32.0,26.0,39.0,26.0,28.0,62.0,12.0
2020-04-23,17.0,0.0,38.0,41.0,41.0,20.0,23.0,33.0,42.0,10.0
2020-04-24,17.0,0.0,40.0,43.0,28.0,35.0,24.0,30.0,22.0,11.0
2020-04-25,0.0,0.0,0.0,36.0,0.0,24.0,14.0,47.0,50.0,11.0
2020-04-26,0.0,0.0,0.0,40.0,31.0,23.0,26.0,53.0,24.0,10.0
2020-04-27,16.0,0.0,0.0,33.0,27.0,20.0,10.0,40.0,28.0,11.0
2020-04-28,0.0,0.0,0.0,52.0,0.0,21.0,12.0,68.0,0.0,11.0
2020-04-29,17.0,0.0,0.0,33.0,0.0,37.0,8.0,58.0,22.0,8.0
2020-04-30,16.0,0.0,35.0,43.0,26.0,19.0,12.0,33.0,30.0,11.0
2020-05-01,17.0,0.0,38.0,48.0,0.0,51.0,26.0,35.0,22.0,9.0
2020-05-02,20.0,0.0,0.0,63.0,33.0,16.0,32.0,39.0,26.0,11.0
2020-05-03,0.0,0.0,44.0,46.0,31.0,23.0,9.0,52.0,0.0,13.0
2020-05-04,0.0,0.0,0.0,26.0,26.0,16.0,12.0,46.0,20.0,11.0
2020-05-05,46.0,0.0,0.0,45.0,25.0,22.0,17.0,43.0,20.0,11.0
2020-05-06,17.0,0.0,0.0,36.0,28.0,31.0,12.0,44.0,21.0,11.0
2020-05-07,17.0,0.0,0.0,30.0,0.0,26.0,13.0,33.0,22.0,12.0
2020-05-08,17.0,0.0,0.0,32.0,0.0,34.0,20.0,45.0,32.0,10.0
2020-05-09,18.0,0.0,0.0,37.0,29.0,15.0,14.0,53.0,35.0,12.0
2020-05-10,18.0,0.0,0.0,53.0,0.0,30.0,28.0,43.0,23.0,10.0
2020-05-11,17.0,0.0,0.0,45.0,27.0,0.0,15.0,43.0,42.0,11.0
2020-05-12,0.0,0.0,0.0,34.0,27.0,26.0,12.0,43.0,21.0,10.0
2020-05-13,17.0,0.0,0.0,34.0,27.0,20.0,10.0,63.0,0.0,10.0
2020-05-14,17.0,0.0,39.0,44.0,0.0,34.0,13.0,63.0,22.0,12.0
2020-05-15,0.0,0.0,37.0,34.0,0.0,17.0,11.0,60.0,21.0,9.0
2020-05-16,20.0,0.0,0.0,48.0,33.0,20.0,27.0,72.0,0.0,11.0
2020-05-17,20.0,0.0,0.0,75.0,33.0,21.0,28.0,66.0,39.0,11.0
2020-05-18,19.0,0.0,0.0,88.0,0.0,15.0,21.0,100.0,0.0,9.0
2020-05-19,33.0,0.0,0.0,55.0,0.0,27.0,10.0,69.0,28.0,11.0
2020-05-20,17.0,0.0,0.0,60.0,0.0,45.0,8.0,88.0,22.0,10.0
2020-05-21,18.0,0.0,0.0,63.0,0.0,46.0,16.0,85.0,0.0,8.0
